# Transient PWP + FS - H20
# Source: E:\Github\MCP_Geostudio\H20\training\H20\solved_gsz
# Rain scenarios: 3, Total rows: 58
# Units: time=days, rain=inches, PWP=psf, FS=dimensionless
#
rain_id,step,elapsed_days,step_rain_in,cum_rain_in,fs,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,n_nodes,PWP_N001,PWP_N002,PWP_N003,PWP_N004,PWP_N005,PWP_N006,PWP_N007,PWP_N008,PWP_N009,PWP_N010,PWP_N011,PWP_N012,PWP_N013,PWP_N014,PWP_N015,PWP_N016,PWP_N017,PWP_N018,PWP_N019,PWP_N020,PWP_N021,PWP_N022,PWP_N023,PWP_N024,PWP_N025,PWP_N026,PWP_N027,PWP_N028,PWP_N029,PWP_N030,PWP_N031,PWP_N032,PWP_N033,PWP_N034,PWP_N035,PWP_N036,PWP_N037,PWP_N038,PWP_N039,PWP_N040,PWP_N041,PWP_N042,PWP_N043,PWP_N044,PWP_N045,PWP_N046,PWP_N047,PWP_N048,PWP_N049,PWP_N050,PWP_N051,PWP_N052,PWP_N053,PWP_N054,PWP_N055,PWP_N056,PWP_N057,PWP_N058,PWP_N059,PWP_N060,PWP_N061,PWP_N062,PWP_N063,PWP_N064,PWP_N065,PWP_N066,PWP_N067,PWP_N068,PWP_N069,PWP_N070,PWP_N071,PWP_N072,PWP_N073,PWP_N074,PWP_N075,PWP_N076,PWP_N077,PWP_N078,PWP_N079,PWP_N080,PWP_N081,PWP_N082,PWP_N083,PWP_N084,PWP_N085,PWP_N086,PWP_N087,PWP_N088,PWP_N089,PWP_N090,PWP_N091,PWP_N092,PWP_N093,PWP_N094,PWP_N095,PWP_N096,PWP_N097,PWP_N098,PWP_N099,PWP_N100,PWP_N101,PWP_N102,PWP_N103,PWP_N104,PWP_N105,PWP_N106,PWP_N107,PWP_N108,PWP_N109,PWP_N110,PWP_N111,PWP_N112,PWP_N113,PWP_N114,PWP_N115,PWP_N116,PWP_N117,PWP_N118,PWP_N119,PWP_N120,PWP_N121,PWP_N122,PWP_N123,PWP_N124,PWP_N125,PWP_N126,PWP_N127,PWP_N128,PWP_N129,PWP_N130,PWP_N131,PWP_N132,PWP_N133,PWP_N134,PWP_N135,PWP_N136,PWP_N137,PWP_N138,PWP_N139,PWP_N140,PWP_N141,PWP_N142,PWP_N143,PWP_N144,PWP_N145,PWP_N146,PWP_N147,PWP_N148,PWP_N149,PWP_N150,PWP_N151,PWP_N152,PWP_N153,PWP_N154,PWP_N155,PWP_N156,PWP_N157,PWP_N158,PWP_N159,PWP_N160,PWP_N161,PWP_N162,PWP_N163,PWP_N164,PWP_N165,PWP_N166,PWP_N167,PWP_N168,PWP_N169,PWP_N170,PWP_N171,PWP_N172,PWP_N173,PWP_N174,PWP_N175,PWP_N176,PWP_N177,PWP_N178,PWP_N179,PWP_N180,PWP_N181,PWP_N182,PWP_N183,PWP_N184,PWP_N185,PWP_N186,PWP_N187,PWP_N188,PWP_N189,PWP_N190,PWP_N191,PWP_N192,PWP_N193,PWP_N194,PWP_N195,PWP_N196,PWP_N197,PWP_N198,PWP_N199,PWP_N200,PWP_N201
1,0,0.0,0.0,0.38,1.857894,1.683,3,0.3805,normal,5.3221,201,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,849.0506,3246.3698,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,849.0506,3246.3698,249.7208,0.0,-499.4415,849.0506,3246.3698,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,849.0506,3246.3698,249.7208,0.0,-499.4415,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,53.5116,-196.2092,-677.8135,849.0506,3246.3698,2647.04,2047.7102,249.7208,1448.3804,-142.6976,-392.4183,-856.1854,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-338.9067,-588.6275,-1034.5574,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-535.1159,-784.8367,-1212.9294,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-731.3251,-981.0458,-1391.3013,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,-927.5342,-1177.255,-1569.6733,-461.4211,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-1123.7434,-1373.4641,-1748.0453,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,-435.332,-1123.7434,-1373.4641,-1748.0453,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-441.2875,-1123.7434,-1373.4641,-1748.0453,-444.0503,2647.04,2047.7102,1448.3804,849.0506,249.7208,3246.3698,-1123.7434,-1373.4641,-1748.0453,-441.1899,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-437.0113,-1123.7434,-1373.4641,-1748.0453
1,1,3.0,466.901557,467.281557,1.167547,1.683,3,0.3805,normal,5.3221,201,3259.5984,2665.5298,2086.1681,1537.3957,1059.4251,748.783,499.1602,0.0,2665.5295,1059.425,3259.5981,2086.1679,1537.3956,748.783,499.1602,0.0,2665.5282,1059.4245,3259.5968,2086.1668,1537.3948,748.783,499.1602,0.0,1059.4233,3259.5934,748.783,499.1602,0.0,2665.5249,2086.1639,1537.3926,2665.5163,1059.42,3259.5845,2086.1561,1537.3866,748.783,499.1602,0.0,2665.4942,2086.1355,1537.37,1059.4106,3259.5621,748.7829,499.1602,0.0,1059.3831,3259.5067,748.783,499.1602,0.0,2665.4382,2086.0805,1537.3232,3259.3759,2665.3002,2085.9319,1537.1866,1059.2988,748.7825,499.1599,0.0,2664.9741,1059.0222,3259.0922,2085.5283,1536.768,748.7841,499.1609,0.0,2664.2872,1058.0243,3258.5486,2084.4277,1535.431,748.7769,499.1564,0.0,2663.0537,2082.026,1530.6042,1054.0488,3257.6503,748.7989,499.17,0.0,3256.3792,2661.2127,2077.9324,1520.6522,1026.7034,748.6853,499.098,0.0,731.0285,481.3712,0.0,986.3658,3254.8347,2658.9212,2072.5921,531.5339,1506.1195,713.0584,463.4425,0.0,3253.2034,2656.5122,2067.0224,1491.7003,943.678,454.6432,695.1242,445.5455,0.0,3251.6743,2654.3053,2062.2112,1480.1379,920.0688,408.9778,677.3003,427.7237,0.0,3250.3624,2652.4674,2058.4323,1472.0254,902.5633,377.9508,658.9611,409.5792,0.0,2650.9998,888.5343,3249.2956,2055.5106,1465.6003,335.0461,642.0664,392.343,0.0,-53.2134,3248.4502,2649.8397,2053.1681,1460.312,875.5887,314.4922,622.3656,373.3341,0.0,2648.9338,865.5521,3247.7942,2051.3119,1455.9845,282.5603,-243.0136,-987.8217,-1341.1364,0.0,3247.3055,2648.2577,2049.9225,1452.7985,857.6481,265.364,-342.8092,-1104.0173,-1373.4535,0.0,-429.2836,2647.7957,2048.991,1450.7089,853.1339,256.4982,3246.9698,-1120.7877,-1373.4535,0.0,-438.6532,3246.775,2647.5305,2048.4697,1449.6112,850.9139,251.8357,3246.7115,2647.4446,2048.3049,1449.2759,850.2216,250.887,-436.1195,-1122.8366,-1373.4535,0.0
1,2,6.0,466.901557,934.183114,1.167048,1.683,3,0.3805,normal,5.3221,201,3286.5319,2697.9148,2135.0591,1611.0928,1145.7457,749.0576,499.3717,0.0,2697.9133,1145.7452,3286.5303,2135.0577,1611.0918,749.0576,499.3717,0.0,2697.9073,1145.7432,3286.524,2135.0526,1611.088,749.0576,499.3717,0.0,1145.7378,3286.5082,749.0576,499.3717,0.0,2697.892,2135.0392,1611.078,2697.8555,1145.7243,3286.4704,2135.0068,1611.0533,749.0576,499.3717,0.0,2697.77,2134.9291,1610.9922,1145.6902,3286.3829,749.0576,499.3717,0.0,1145.603,3286.1864,749.0576,499.3717,0.0,2697.5746,2134.7438,1610.8404,3285.7639,2697.1419,2134.3053,1610.4573,1145.3734,749.0573,499.3715,0.0,2696.2277,1144.7462,3284.9191,2133.2784,1609.4692,749.0575,499.3716,0.0,2694.4655,1142.9249,3283.3941,2130.9174,1606.8762,749.0542,499.3695,0.0,2691.4763,2126.2399,1599.6445,1137.3006,3280.9619,749.0588,499.3725,0.0,3277.5671,2687.1194,2118.5975,1585.5355,1111.5199,749.0102,499.3402,0.0,731.2267,481.5396,0.0,1070.6435,3273.4159,2681.671,2108.5477,631.2099,1564.9028,713.3884,463.7024,0.0,3268.9219,2675.7631,2097.5988,1542.7709,1023.7691,558.2888,695.5591,445.8713,0.0,3264.5337,2670.0591,2087.3561,1522.8867,989.1861,504.1239,677.7356,428.0435,0.0,3260.5662,2664.9789,2078.514,1506.6645,960.0835,461.2719,659.8658,410.1869,0.0,2660.6405,934.722,3257.1527,2071.0556,1492.7243,406.5517,642.0823,392.3835,0.0,185.2114,3254.3046,2657.0128,2064.7213,1480.5544,910.57,370.5601,623.8725,374.3222,0.0,2654.0536,889.8296,3251.9985,2059.4598,1470.0984,323.144,-99.8341,-880.3588,-1321.2397,0.0,3250.219,2651.7597,2055.3394,1461.8739,872.6508,288.2516,-263.5806,-1074.8013,-1373.4444,0.0,-406.7359,2650.1371,2052.4399,1456.1336,861.3628,267.903,3248.9599,-1114.1792,-1373.4445,0.0,-432.8825,3248.2124,2649.178,2050.7474,1452.8932,855.3522,256.766,3247.9651,2648.8617,2050.1965,1451.8649,853.4314,254.1134,-433.5087,-1120.1873,-1373.4445,0.0
1,3,9.0,466.901557,1401.084672,1.167037,1.683,3,0.3805,normal,5.3221,201,3321.777,2736.4681,2181.8318,1664.4046,1189.3858,749.0802,499.3868,0.0,2736.4635,1189.3843,3321.7723,2181.8279,1664.4017,749.0802,499.3868,0.0,2736.4469,1189.3786,3321.7548,2181.8136,1664.3912,749.0802,499.3868,0.0,1189.3648,3321.7132,749.0802,499.3868,0.0,2736.407,2181.7789,1664.3654,2736.318,1189.333,3321.6207,2181.7008,1664.3065,749.0802,499.3868,0.0,2736.1254,2181.5287,1664.1739,1189.26,3321.4222,749.0801,499.3868,0.0,1189.0926,3321.0096,749.0801,499.3867,0.0,2735.7201,2181.1553,1663.8767,3320.188,2734.8964,2180.3583,1663.21,1188.704,749.0798,499.3865,0.0,2733.2995,1187.7837,3318.6524,2178.6925,1661.7062,749.0796,499.3864,0.0,2730.4317,1185.5197,3316.0182,2175.3072,1658.3018,749.0769,499.3846,0.0,2725.793,2169.1201,1650.3459,1179.6846,3311.9479,749.0785,499.3856,0.0,3306.3361,2719.1703,2159.3868,1635.645,1159.0044,749.0457,499.3639,0.0,731.2393,481.5478,0.0,1124.7977,3299.4343,2710.8566,2146.5277,677.4065,1614.1418,713.4,463.71,0.0,3291.7961,2701.6021,2131.9991,1589.6288,1082.7939,619.1187,695.5666,445.876,0.0,3284.0657,2692.2666,2117.5122,1565.5619,1045.7732,567.8383,677.7397,428.046,0.0,3276.7551,2683.4868,2104.0494,1543.7297,1011.33,521.9114,659.8748,410.1925,0.0,2675.5698,978.9498,3270.159,2091.894,1523.6116,465.5266,642.098,392.393,0.0,328.1674,3264.4093,2668.6302,2081.0349,1505.0663,946.8483,419.6254,623.8995,374.3387,0.0,2662.7484,917.0957,3259.5776,2071.6283,1488.4006,363.1016,7.0273,-793.9111,-1301.7242,0.0,3255.7331,2658.037,2063.9745,1474.6029,891.299,313.9024,-198.5442,-1041.7223,-1373.4352,0.0,-380.4671,2654.6087,2058.3845,1464.5098,872.8545,282.4142,3252.9433,-1104.1576,-1373.4354,0.0,-423.9847,3251.2555,2652.5358,2055.019,1458.5359,862.4433,264.5025,3250.6913,2651.8437,2053.9019,1456.5884,859.0451,259.7913,-428.6834,-1115.2954,-1373.4354,0.0
1,4,12.0,155.652975,1556.737647,1.16703,1.683,3,0.3805,normal,5.3221,201,3360.1091,2776.0326,2223.4423,1703.9628,1215.958,749.0939,499.3959,0.0,2776.0231,1215.9548,3360.0991,2223.4341,1703.9568,749.0939,499.3959,0.0,2775.9888,1215.9433,3360.0632,2223.4046,1703.9352,749.0939,499.3959,0.0,1215.9167,3359.9813,749.0939,499.3959,0.0,2775.9105,2223.3371,1703.8852,2775.7463,1215.8593,3359.8101,2223.1942,1703.7785,749.0939,499.3959,0.0,2775.4137,2222.9007,1703.5559,1215.7382,3359.4654,749.0938,499.3959,0.0,1215.4843,3358.794,749.0937,499.3958,0.0,2774.7602,2222.3115,1703.0975,3357.5395,2773.5213,2221.154,1702.1625,1214.9519,749.0933,499.3955,0.0,2771.277,1213.8275,3355.3226,2218.9392,1700.2649,749.0929,499.3953,0.0,2767.4696,1211.3968,3351.6812,2214.8342,1696.4309,749.0907,499.3938,0.0,2761.5462,2207.8094,1688.5546,1205.9355,3346.2067,749.0906,499.3937,0.0,3338.7387,2753.2349,2197.1112,1674.7087,1189.8866,749.0691,499.3795,0.0,731.2462,481.5523,0.0,1162.5976,3329.5041,2742.7642,2182.9383,704.6021,1654.4689,713.408,463.7152,0.0,3319.08,2730.8438,2166.4339,1630.2434,1127.0162,659.5002,695.5718,445.8794,0.0,3308.1933,2718.3675,2149.1061,1604.7038,1091.3533,614.1061,677.7431,428.0482,0.0,3297.4921,2706.0952,2132.0252,1579.587,1055.3249,569.0792,659.8805,410.1961,0.0,2694.5194,1019.1035,3287.4378,2115.7323,1555.0171,514.2336,642.1078,392.399,0.0,416.7725,3278.3394,2683.9613,2100.5282,1531.2492,981.6445,462.4628,623.9187,374.3502,0.0,2674.7116,944.8718,3270.4451,2086.8715,1509.0321,399.963,87.559,-723.7914,-1282.5792,0.0,3263.9952,2667.0937,2075.4024,1489.8936,911.7368,340.0633,-144.3181,-1007.8434,-1373.4261,0.0,-352.8338,2661.4209,2066.7814,1475.3868,886.7076,298.9318,3259.2146,-1091.2909,-1373.4263,0.0,-412.3847,3256.2774,2657.9301,2061.4709,1466.5151,871.9573,274.7282,3255.2873,2656.7533,2059.6839,1463.5663,867.0587,267.925,-421.4779,-1107.9911,-1373.4263,0.0
1,5,15.0,0.028684,1556.76633,1.167025,1.683,3,0.3805,normal,5.3221,201,3398.1279,2813.9336,2259.915,1734.9317,1234.5992,749.1035,499.4024,0.0,2813.9168,1234.5937,3398.1103,2259.9006,1734.9212,749.1035,499.4024,0.0,2813.8583,1234.5742,3398.0489,2259.8505,1734.8844,749.1035,499.4023,0.0,1234.5311,3397.9147,749.1035,499.4023,0.0,2813.7301,2259.7403,1734.8033,2813.4746,1234.4436,3397.6478,2259.5193,1734.6396,749.1035,499.4023,0.0,2812.9854,2259.092,1734.3191,1234.2708,3397.1386,749.1034,499.4022,0.0,1233.9346,3396.2003,749.1032,499.4021,0.0,2812.078,2258.2869,1733.704,3394.5375,2810.4537,2256.8084,1732.542,1233.2857,749.1028,499.4019,0.0,2807.6683,1232.036,3391.7343,2254.1702,1730.3741,749.1022,499.4015,0.0,2803.1552,1229.6003,3387.2961,2249.6154,1726.3705,749.1005,499.4003,0.0,2796.354,2242.2256,1718.9297,1224.7063,3380.7773,749.0991,499.3994,0.0,3371.9627,2786.9443,2231.2734,1706.4252,1212.4797,749.0864,499.391,0.0,731.2507,481.5553,0.0,1191.1741,3361.004,2775.0454,2216.733,723.5158,1688.1603,713.414,463.7191,0.0,3348.4096,2761.2291,2199.3585,1665.3697,1161.7217,689.0174,695.5759,445.882,0.0,3334.8858,2746.3055,2180.3197,1639.8576,1128.8221,649.8381,677.7461,428.0501,0.0,3321.1391,2731.061,2160.6207,1613.0699,1093.1257,607.3654,659.8847,410.1987,0.0,2716.1282,1055.0479,3307.7675,2140.959,1585.4849,554.9223,642.1139,392.4028,0.0,473.9331,3295.2732,2702.0418,2121.9167,1557.6643,1014.0485,499.9028,623.9336,374.3592,0.0,2689.3482,971.993,3284.1309,2104.28,1530.7746,433.3373,149.1533,-666.3796,-1263.7939,0.0,3274.8202,2678.6474,2089.0802,1506.8843,932.8921,365.6938,-98.5011,-974.7587,-1373.4169,0.0,-325.1611,2670.5276,2077.3975,1488.2791,902.2171,316.6964,3267.7959,-1076.203,-1373.4173,0.0,-398.5925,3263.426,2665.462,2070.0759,1476.6314,883.5496,287.0311,3261.9432,2663.7416,2067.5878,1472.705,877.2641,278.2981,-411.9681,-1098.3485,-1373.4173,0.0
1,6,18.0,0.033746,1556.800076,1.167021,1.683,3,0.3805,normal,5.3221,201,3434.0338,2849.0076,2291.9244,1760.34,1248.9935,749.111,499.4073,0.0,2848.9818,1248.985,3434.0068,2291.9024,1760.324,749.111,499.4073,0.0,2848.8939,1248.956,3433.9146,2291.8272,1760.269,749.1109,499.4073,0.0,1248.8941,3433.72,749.1109,499.4073,0.0,2848.7083,2291.6681,1760.1523,2848.3543,1248.7746,3433.3494,2291.3633,1759.9276,749.1108,499.4072,0.0,2847.7077,2290.8028,1759.5109,1248.5514,3432.6746,749.1107,499.4071,0.0,1248.1432,3431.4879,749.1105,499.407,0.0,2846.5658,2289.8016,1758.7565,3429.4776,2844.6172,2288.0619,1757.4182,1247.4075,749.1101,499.4067,0.0,2841.4231,1246.0936,3426.2204,2285.1281,1755.0857,749.1094,499.4063,0.0,2836.4399,1243.7436,3421.2215,2280.3408,1751.0819,749.1081,499.4054,0.0,2829.1236,2272.9062,1744.2354,1239.4623,3414.0223,749.1058,499.4039,0.0,3404.3549,2819.1129,2262.1336,1733.196,1230.4273,749.1002,499.4002,0.0,731.2541,481.5576,0.0,1214.1949,3392.2678,2806.3993,2247.7956,738.1189,1717.0729,713.4187,463.7222,0.0,3378.1434,2791.3702,2230.2628,1696.1574,1190.2258,712.205,695.5792,445.8841,0.0,3362.5945,2774.6814,2210.3279,1671.4497,1160.4784,678.7957,677.7486,428.0517,0.0,3346.3178,2757.0718,2188.8376,1644.0087,1126.0079,639.4321,659.8881,410.2008,0.0,2739.2587,1087.2456,3330.0035,2166.5541,1614.4638,589.481,642.1177,392.4051,0.0,512.5578,3314.3355,2721.9678,2144.282,1583.5861,1043.9497,532.8387,623.9457,374.3664,0.0,2706.0101,997.9994,3300.0322,2123.1186,1552.8975,463.529,197.1538,-618.8649,-1245.3581,0.0,3287.851,2692.2939,2104.4917,1524.9652,954.1916,390.3867,-59.296,-943.2227,-1373.4076,0.0,-298.1508,2681.7259,2089.9235,1502.7567,918.8762,335.2057,3278.5255,-1059.4617,-1373.4082,0.0,-383.0978,3272.6647,2675.0609,2080.6733,1488.6124,896.86,301.0061,3270.6655,2672.7843,2077.5068,1483.7946,889.3661,290.5985,-400.3761,-1086.5917,-1373.4082,0.0
1,7,21.0,0.033746,1556.833822,1.167017,1.683,3,0.3805,normal,5.3221,201,3467.0499,2880.8838,2320.1351,1781.8791,1260.7945,749.117,499.4114,0.0,2880.848,1260.7828,3467.0124,2320.1046,1781.8569,749.117,499.4114,0.0,2880.728,1260.7433,3466.8864,2320.0021,1781.7821,749.117,499.4113,0.0,1260.6619,3466.6283,749.117,499.4113,0.0,2880.4821,2319.7918,1781.6282,2880.0304,1260.5111,3466.1549,2319.4043,1781.3437,749.1169,499.4113,0.0,2879.2386,2318.7216,1780.8395,1260.2424,3465.3266,749.1167,499.4112,0.0,1259.7759,3463.9276,749.1165,499.411,0.0,2877.897,2317.5558,1779.9703,3461.6469,2875.6992,2315.6218,1778.5069,1258.9814,749.1161,499.4107,0.0,2872.2301,1257.6496,3458.075,2312.5091,1776.0966,749.1153,499.4102,0.0,2866.9864,1255.4379,3452.7366,2307.6601,1772.2067,749.1144,499.4096,0.0,2859.4517,2300.4014,1766.0294,1251.766,3445.1746,749.1114,499.4076,0.0,3435.0715,2849.2291,2290.0801,1756.4569,1245.4742,749.1118,499.4079,0.0,731.2568,481.5594,0.0,1233.6101,3422.3615,2836.1797,2276.2929,750.1487,1742.4567,713.4226,463.7247,0.0,3407.272,2820.49,2259.059,1723.5547,1214.5081,731.3942,695.582,445.8859,0.0,3390.2789,2802.6268,2238.7994,1700.0429,1187.9075,703.1627,677.7508,428.0531,0.0,3372.0197,2783.2338,2216.1609,1672.5765,1155.0457,666.9773,659.8908,410.2025,0.0,2763.0649,1116.2841,3353.2345,2191.9064,1641.8216,619.3799,642.1203,392.4067,0.0,540.0175,3334.7627,2743.0035,2167.0069,1608.6875,1071.5521,562.1144,623.9555,374.3724,0.0,2724.1117,1022.784,3317.5612,2142.836,1574.9865,491.0251,235.3758,-579.0589,-1227.2618,0.0,3302.6763,2707.6093,2121.1954,1543.7221,975.3487,414.0487,-25.3164,-913.5165,-1373.3984,0.0,-272.1322,2694.7357,2104.0369,1518.4633,936.3303,354.1373,3291.1419,-1041.5415,-1373.3992,0.0,-366.3269,3283.8326,2686.5459,2093.0316,1502.1682,911.557,316.2952,3281.3287,2683.7358,2089.2436,1496.5746,903.0527,304.4952,-386.9947,-1073.0187,-1373.3991,0.0
1,8,24.0,0.393701,1557.227523,1.167014,1.683,3,0.3805,normal,5.3221,201,3496.9645,2909.5746,2345.0871,1800.5159,1270.819,749.1222,499.4148,0.0,2909.5285,1270.8039,3496.9161,2345.0478,1800.4873,749.1222,499.4148,0.0,2909.376,1270.7539,3496.7558,2344.9177,1800.3924,749.1222,499.4148,0.0,1270.6536,3496.4361,749.1221,499.4147,0.0,2909.0714,2344.6576,1800.2025,2908.5297,1270.4742,3495.8678,2344.194,1799.8632,749.122,499.4147,0.0,2907.6132,2343.4071,1799.2849,1270.1673,3494.9075,749.1219,499.4146,0.0,1269.6572,3493.3412,749.1216,499.4144,0.0,2906.1152,2342.1141,1798.3286,3490.8713,2903.7454,2340.0519,1796.7885,1268.8295,749.1212,499.4141,0.0,2900.1242,1267.5155,3487.1151,2336.8618,1794.3711,749.1203,499.4136,0.0,2894.7961,1265.4755,3481.6281,2332.0853,1790.6757,749.1198,499.4132,0.0,2887.277,2325.1599,1785.2068,1262.3967,3473.9622,749.1162,499.4108,0.0,3463.7548,2877.1385,2315.4679,1777.0683,1258.5272,749.1218,499.4146,0.0,731.2592,481.5609,0.0,1250.5071,3450.8242,2864.1158,2302.453,760.4728,1765.1192,713.426,463.7269,0.0,3435.2328,2848.195,2285.8191,1748.2482,1235.7619,747.8701,695.5844,445.8875,0.0,3417.2985,2829.6423,2265.6392,1726.1289,1212.1707,724.2691,677.7528,428.0543,0.0,3397.5684,2808.9793,2242.3462,1699.0323,1181.0615,691.1418,659.8931,410.2039,0.0,2786.961,1142.7114,3376.7981,2216.6662,1667.6056,645.7226,642.122,392.4077,0.0,560.5848,3355.9538,2764.5954,2189.6919,1632.8515,1097.1538,588.4565,623.9638,374.3774,0.0,2743.1706,1046.3987,3336.2114,2163.0345,1596.8165,516.3082,266.5281,-545.2592,-1209.4947,0.0,3318.8974,2724.2024,2138.8323,1562.8754,996.2315,436.7278,4.5228,-885.663,-1373.3891,0.0,-247.218,2709.2541,2119.4328,1535.1095,954.33,373.2863,3305.3453,-1022.8204,-1373.3901,0.0,-348.6318,3296.6992,2699.6781,2106.8923,1517.0209,927.3521,332.5979,3293.7272,2696.3806,2102.5577,1510.7754,918.0291,319.6778,-372.1348,-1057.948,-1373.3901,0.0
1,9,27.0,0.573678,1557.801201,1.167012,1.683,3,0.3805,normal,5.3221,201,3523.8489,2935.2633,2367.2099,1816.8378,1279.5097,749.1267,499.4178,0.0,2935.2072,1279.4914,3523.79,2367.1621,1816.803,749.1267,499.4178,0.0,2935.0239,1279.4314,3523.5973,2367.0059,1816.6892,749.1267,499.4178,0.0,1279.3141,3523.2213,749.1266,499.4177,0.0,2934.6659,2366.7006,1816.4666,2934.0468,1279.1102,3522.5714,2366.1718,1816.0805,749.1265,499.4177,0.0,2933.0311,2365.3024,1815.4441,1278.7735,3521.5059,749.1263,499.4175,0.0,1278.2348,3519.8205,749.126,499.4173,0.0,2931.4224,2363.9211,1814.4289,3517.2393,2928.9543,2361.7923,1812.8558,1277.3963,749.1256,499.4171,0.0,2925.2883,1276.1286,3513.4138,2358.6114,1810.4894,749.1247,499.4165,0.0,2920.0197,1274.2831,3507.9361,2354.0131,1807.0484,749.1245,499.4164,0.0,2912.6977,2347.536,1802.3106,1271.78,3500.3711,749.1204,499.4136,0.0,3490.3152,2902.8659,2338.5948,1795.5669,1270.096,749.1308,499.4206,0.0,731.2612,481.5622,0.0,1265.5256,3477.4751,2890.1417,2326.4991,769.5701,1785.5896,713.429,463.7289,0.0,3461.7493,2874.3197,2310.6709,1770.7224,1254.7295,762.3856,695.5866,445.8888,0.0,3443.2907,2855.4667,2290.8635,1750.0965,1233.9818,742.9576,677.7546,428.0555,0.0,3422.5396,2833.9699,2267.2987,1723.6305,1204.6661,712.7148,659.8951,410.2052,0.0,2810.5623,1166.9872,3400.2424,2240.6457,1691.9301,669.3223,642.1232,392.4085,0.0,576.7792,3377.4645,2786.3474,2212.0865,1656.0648,1121.0522,612.4563,623.971,374.3817,0.0,2762.8103,1068.9553,3355.5755,2183.4327,1618.2714,539.7946,292.5317,-516.1446,-1192.047,0.0,3336.1608,2741.7357,2157.117,1582.2337,1016.7874,458.5253,31.0756,-859.5527,-1373.3799,0.0,-223.4006,2724.9882,2135.8379,1552.4607,972.696,392.5217,3320.8372,-1003.5902,-1373.3811,0.0,-330.2938,3311.0063,2714.1989,2121.997,1532.9174,944.0007,349.6678,3307.6176,2710.4728,2117.1972,1526.1394,934.0323,335.8721,-356.0935,-1041.6862,-1373.381,0.0
