# Monte Carlo Simulation - GeoStudio SLOPE/W + SEEP/W
# Generated   : 2026-03-23 02:41:56
# Input file  : E:\Github\MCP_Geostudio\Metro-Center.gsz
# Iterations  : 500
# Random seed : 42
# Solver      : C:\Program Files\Seequent\GeoStudio 2024.2\Bin\GeoCmd.exe
# Execution   : Sequential (chained SEEP/W -> SLOPE/W per iteration)
#
# --- Soil Parameter Distributions ---
# CohesionPrime = Lognormal | PhiPrime = Normal (min 1 deg)
# Reference    : Phoon & Kulhawy (1999), Duncan (2000)
#
# SC (Silty Clay): c_mean=198.4 psf  COV=35% | phi_mean=20.0 deg  COV=10%
# AWYC (Weathered Yazoo Clay in Active Zone): c_mean=79.3 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# WYC (Weathered Yazoo Clay): c_mean=248.5 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# UYC (Unweathered Yazoo Clay): c_mean=384.2 psf  COV=30% | phi_mean=20.0 deg  COV=8%
#
# --- Rainfall Distribution ---
# Lognormal | COV = 35% | Zero points fixed
#   Day 4: baseline = 0.01 in/day
#   Day 5: baseline = 0.61 in/day
#   Day 6: baseline = 0.01 in/day
#   Day 8: baseline = 1.0 in/day
#   Day 9: baseline = 0.08 in/day
#
# --- Column Units ---
# cohesion = psf | phi = degrees | rainfall = in/day | FS = dimensionless
#
iter,SC_cohesion_psf,SC_phi_deg,AWYC_cohesion_psf,AWYC_phi_deg,WYC_cohesion_psf,WYC_phi_deg,UYC_cohesion_psf,UYC_phi_deg,rainfall_day4_in_per_day,rainfall_day5_in_per_day,rainfall_day6_in_per_day,rainfall_day8_in_per_day,rainfall_day9_in_per_day,FS_Slope_Stability,FS_FS
1,203.4721,21.3564,58.7594,16.9282,107.1116,21.2153,369.8007,20.3292,0.007231,0.873592,0.013006,0.905569,0.062508,1.295217,0.846478
2,306.1407,20.2046,83.5053,21.5911,316.96,20.32,329.2327,18.3698,0.010726,0.483787,0.012504,1.014133,0.058609,1.715239,1.132935
3,160.27,18.7543,77.5675,20.9241,217.8972,19.5985,430.1574,21.1037,0.00697,0.675228,0.009382,0.769335,0.059973,1.576754,1.071901
4,157.8343,22.4358,66.3258,20.6648,147.0473,15.7408,365.4913,19.2835,0.009725,0.688316,0.01051,0.835715,0.055066,1.319077,1.01725
5,149.3001,20.1949,35.4167,14.5766,133.9981,17.1747,296.6553,19.2691,0.008846,0.427623,0.009453,1.154625,0.082829,1.041796,0.635295
6,168.668,22.6992,79.3061,22.207,245.6047,16.6776,473.7446,18.977,0.010864,0.857013,0.012114,1.062571,0.05276,1.559559,1.137606
7,227.3508,22.7652,80.7249,15.5358,241.6586,19.2486,309.6552,17.3794,0.009216,0.300149,0.008915,0.938703,0.172994,1.301788,0.896323
8,220.93,19.0452,95.287,15.837,438.3517,18.5647,430.496,21.2425,0.010257,0.612044,0.005982,0.887238,0.062799,1.385044,0.973579
9,154.0079,18.7558,75.9402,21.8556,203.6597,16.4883,291.0798,22.8439,0.008379,0.385029,0.008517,1.044581,0.08325,1.456108,1.092907
10,141.4199,20.485,71.8391,18.7849,261.3456,20.5184,389.0476,20.2854,0.006412,0.700773,0.00845,1.321477,0.117996,1.431014,0.974034
11,194.0452,18.3869,103.8205,16.8829,148.9653,20.1707,542.0159,22.0413,0.014964,0.660278,0.008383,1.14876,0.091948,1.452796,1.050224
