2Y 2 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Y 2 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth in Feet,Baseline date, Profile change in inches for different date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth in Feet,Baseline date, Profile change in inches for different date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,10/6/2018,10/31/2018,11/13/2018,12/5/2018,12/18/2018,1/5/2019,1/21/2019,2/6/2019,2/25/2019,3/13/2019,4/1/2019,4/10/2019,4/24/2019,5/15/2019,5/29/2019,6/12/2019,7/8/2019,7/24/2019,8/16/2019,8/30/2019,9/25/2019,10/10/2019,11/1/2019,11/21/2019,12/7/2019,12/18/2019,1/9/2020,2/8/2020,3/12/2020,4/3/2020,5/2/2020,5/31/2020,7/12/2020,9/4/2020,11/3/2020,2/4/2021,6/8/2021,2/21/2022,,@,Depth IN FEET,10/6/2018,10/31/2018,11/13/2018,12/5/2018,12/18/2018,1/5/2019,1/21/2019,2/6/2019,2/25/2019,3/13/2019,4/1/2019,4/10/2019,4/24/2019,5/15/2019,5/29/2019,6/12/2019,7/8/2019,7/24/2019,8/16/2019,8/30/2019,9/25/2019,10/10/2019,11/1/2019,11/21/2019,12/7/2019,12/18/2019,1/9/2020,2/8/2020,3/12/2020,4/3/2020,5/2/2020,5/31/2020,7/12/2020,9/4/2020,11/3/2020,2/4/2021,6/8/2021,2/21/2022
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.0073,0.0001,0.011,0.0059,0.0032,0.0088,0.0104,0.01,0.0121,0.0049,0.0121,0.0091,0.0104,0.0119,0.0218,0.0031,0.0221,0.0239,0.0384,0.0017,0.0068,0.0452,0.0128,0.0128,0.0128,0.0128,0.0128,0.0174,0.0103,0.0082,0.0146,0.0103,0.0468,0.6288,0.5981,0.6284,0.7384,,@,1,0,0.0018,0.0152,0.0121,0.0095,0.0028,0.0098,0.0042,0.0035,0.0006,0.0001,0.012,0.0133,0.0181,0.0343,0.0366,0.0293,0.0394,0.0318,0.0644,0.0582,0.0524,0.1462,0.1404,0.1404,0.1404,0.1404,0.1404,0.1296,0.138,0.1315,0.132,0.1504,0.1708,0.5933,0.5783,0.5807,0.7073
3,0,0.0124,0.0155,0.0259,0.0241,0.0208,0.024,0.0251,0.0252,0.0271,0.0198,0.0266,0.0236,0.0248,0.0266,0.036,0.0414,0.0456,0.051,0.0559,0.052,0.0686,0.0623,0.0773,0.0773,0.0683,0.0571,0.0613,0.0508,0.0506,0.0568,0.055,0.0612,0.0664,0.5419,0.5134,0.5398,0.6458,,@,3,0,0.0018,0.0067,0.0072,0.012,0.0055,0.0066,0.0025,0.0047,0.0031,0.0038,0.0136,0.0132,0.0166,0.0294,0.0296,0.026,0.0192,0.0268,0.0389,0.0504,0.0326,0.0281,0.0349,0.0349,0.0683,0.0571,0.0613,0.039,0.0535,0.0546,0.0703,0.0787,0.0919,0.3516,0.3493,0.3424,0.4727
5,0,0.0124,0.0112,0.0124,0.0088,0.0032,0.006,0.0065,0.0066,0.0082,0.0037,0.0079,0.006,0.0062,0.0088,0.0169,0.0228,0.0272,0.0335,0.0377,0.0349,0.0515,0.0475,0.06,0.06,0.0456,0.0336,0.0379,0.0281,0.0278,0.033,0.0322,0.0392,0.0428,0.4238,0.4016,0.422,0.525,,@,5,0,0.0042,0.0037,0.0052,0.0066,0.0041,0.0065,0.0014,0.0025,0.0059,0.0034,0.0097,0.0107,0.014,0.0224,0.0257,0.0226,0.0193,0.0214,0.032,0.0442,0.0298,0.0266,0.0305,0.0305,0.0456,0.0336,0.0379,0.0318,0.0433,0.044,0.0582,0.0678,0.0782,0.1474,0.1529,0.1414,0.2736
7,0,0.0114,0.0101,0.0109,0.0072,0.001,0.0035,0.0041,0.0038,0.0049,0.0026,0.005,0.004,0.0032,0.0066,0.0137,0.019,0.0229,0.0294,0.0334,0.0317,0.0464,0.0442,0.0558,0.0558,0.0416,0.0305,0.0336,0.0254,0.0247,0.0296,0.0294,0.0364,0.0402,0.3056,0.2923,0.3059,0.4074,,@,7,0,0.0042,0.003,0.0041,0.0048,0.0037,0.0059,0.0028,0.0037,0.0041,0.0037,0.01,0.0107,0.0144,0.0202,0.024,0.0232,0.0186,0.0185,0.0304,0.0421,0.0274,0.023,0.0275,0.0275,0.0416,0.0305,0.0336,0.0248,0.0358,0.0366,0.048,0.0583,0.0664,0.0696,0.0748,0.062,0.2005
9,0,0.0102,0.0096,0.0112,0.0088,0.0022,0.0043,0.004,0.0034,0.0044,0.0026,0.0048,0.0031,0.0025,0.0064,0.0116,0.0161,0.0196,0.0259,0.0294,0.0292,0.0425,0.042,0.0523,0.0523,0.0409,0.03,0.0334,0.0265,0.0259,0.03,0.0305,0.0372,0.0418,0.1909,0.1876,0.194,0.2944,,@,9,0,0.0043,0.0047,0.0037,0.0061,0.0048,0.0049,0.0036,0.0049,0.0043,0.0047,0.0107,0.0115,0.0149,0.0198,0.0224,0.0227,0.0208,0.0174,0.0298,0.0412,0.0254,0.022,0.0247,0.0247,0.0409,0.03,0.0334,0.0222,0.0322,0.0329,0.0431,0.0558,0.0604,0.1337,0.1352,0.1253,0.2682
11,0,0.0092,0.009,0.0116,0.011,0.0056,0.0066,0.0058,0.0047,0.0061,0.0042,0.0062,0.0052,0.0035,0.0072,0.0113,0.015,0.0172,0.023,0.0265,0.0269,0.0388,0.039,0.049,0.049,0.0416,0.0314,0.0354,0.0299,0.029,0.0324,0.0335,0.0395,0.0455,0.1062,0.1098,0.1118,0.2106,,@,11,0,0.0017,0.0013,0.0001,0.0037,0.0014,0.0082,0.002,0.0001,0.0077,0.0002,0.0083,0.0068,0.0114,0.0172,0.0167,0.0168,0.0158,0.0113,0.0238,0.0365,0.0196,0.0163,0.0166,0.0166,0.0416,0.0314,0.0354,0.0203,0.0304,0.0328,0.0438,0.0551,0.062,0.1307,0.1406,0.1284,0.27
13,0,0.0085,0.0096,0.0119,0.013,0.01,0.0098,0.0084,0.007,0.009,0.0066,0.0083,0.007,0.0048,0.0074,0.0107,0.0142,0.015,0.0202,0.023,0.0238,0.0347,0.0358,0.0448,0.0448,0.0415,0.0326,0.0368,0.0323,0.0317,0.0338,0.0344,0.0394,0.0458,0.0881,0.091,0.0922,0.1915,,@,13,0,0.0012,0.0023,0.0031,0.0014,0.002,0.0103,0.0043,0.0019,0.0088,0.0028,0.0046,0.0022,0.0085,0.0122,0.0126,0.0109,0.0115,0.0047,0.0176,0.03,0.0122,0.0103,0.009,0.009,0.0415,0.0326,0.0368,0.0106,0.019,0.0208,0.0295,0.0395,0.0444,0.0668,0.0874,0.0676,0.2111
15,0,0.0073,0.0086,0.0119,0.0126,0.0112,0.011,0.0092,0.0082,0.0101,0.0079,0.0088,0.0082,0.0055,0.0068,0.0097,0.0137,0.0137,0.018,0.0209,0.0215,0.0313,0.0326,0.0418,0.0418,0.0397,0.0313,0.036,0.0317,0.031,0.0324,0.0324,0.0364,0.0419,0.1018,0.1069,0.1079,0.2056,,@,15,0,0.006,0.0038,0.0025,0.0014,0.002,0.0084,0.003,0.0017,0.0101,0.0016,0.0049,0.0022,0.0109,0.0119,0.0127,0.0104,0.0091,0.0026,0.015,0.0274,0.0095,0.0064,0.0073,0.0073,0.0397,0.0313,0.036,0.0073,0.015,0.0164,0.0244,0.0329,0.036,0.017,0.0116,0.0062,0.1308
17,0,0.006,0.0086,0.0112,0.0125,0.0134,0.0134,0.0116,0.0124,0.0134,0.0124,0.0116,0.0113,0.0084,0.0089,0.0108,0.0142,0.0132,0.0167,0.0193,0.0181,0.0272,0.0292,0.038,0.038,0.0376,0.03,0.0358,0.031,0.0304,0.0305,0.0292,0.0307,0.0337,0.0708,0.0859,0.0838,0.1736,,@,17,0,0.0096,0.0053,0.0049,0.0068,0.0042,0.0095,0.0034,0.0014,0.009,0.003,0.0028,0.001,0.0083,0.0066,0.0084,0.0078,0.0044,0.0002,0.0102,0.019,0.006,0.0019,0.0032,0.0032,0.0376,0.03,0.0358,0.0048,0.0006,0.002,0.006,0.0132,0.0122,0.0643,0.0294,0.046,0.0899
19,0,0.0022,0.0059,0.0083,0.0106,0.0124,0.0119,0.0103,0.0113,0.0124,0.0122,0.0113,0.0112,0.0085,0.0097,0.0101,0.0126,0.0116,0.0151,0.0166,0.0157,0.0229,0.0262,0.0319,0.0319,0.0344,0.028,0.0349,0.0325,0.0324,0.0328,0.0317,0.0324,0.0361,0.0337,0.0486,0.0474,0.1271,,@,19,0,0.0073,0.0079,0.0049,0.0098,0.0053,0.0101,0.0034,0.0013,0.0088,0.0037,0.0004,0.0026,0.0048,0.0012,0.0036,0.0046,0.0002,0.0031,0.0055,0.0118,0.0001,0.003,0.0012,0.0012,0.0344,0.028,0.0349,0.015,0.0112,0.0106,0.0073,0.0029,0.0055,0.0776,0.0523,0.065,0.0733
