trial,log_ksat_wyc,log_kyx,log_ksat_uyc,ksat_wyc,kyx_awyc,ksat_uyc,rmse_psf,rmse_kpa,n_pts,solve_s
1,-4.0,4.9076,-5.0,0.0001,80826.99999999993,1e-05,1188.08,56.8855,327,279.7
2,-4.2,4.9076,-5.0,6.309573444801929e-05,80826.99999999993,1e-05,1084.93,51.9467,327,283.0
3,-4.0,5.1529,-5.0,0.0001,142211.35769887868,1e-05,1190.81,57.0163,327,287.1
4,-4.0,4.9076,-5.25,0.0001,80826.99999999993,5.623413251903491e-06,1219.83,58.4061,327,280.6
5,-4.1333,5.0711,-4.75,7.356422544596421e-05,117799.0193360218,1.778279410038923e-05,1090.31,52.2042,327,286.4
6,-4.2222,4.7712,-4.8333,5.994842503189421e-05,59052.11365090894,1.4677992676220675e-05,1046.75,50.1187,327,281.1
7,-4.3333,4.5804,-4.75,4.641588833612791e-05,38052.74834965064,1.778279410038923e-05,966.54,46.2783,327,284.9
8,-4.4444,4.7985,-4.6667,3.5938136638046405e-05,62878.134661795055,2.1544346900318867e-05,891.42,42.6816,327,286.2
9,-4.6667,4.744,-4.5,2.1544346900318955e-05,55458.89911328211,3.1622776601683795e-05,756.92,36.2414,327,285.2
10,-4.6667,4.4168,-4.75,2.1544346900318955e-05,26109.635786388077,1.778279410038923e-05,770.43,36.8885,327,290.0
11,-4.9111,4.2532,-4.3333,1.2271252398512016e-05,17914.9499172534,4.641588833612772e-05,666.47,31.9107,327,290.1
12,-5.2667,3.926,-4.0,5.411695265464715e-06,8434.224713249767,0.0001,651.49,31.1935,327,294.4
13,-5.4,4.1442,-4.0833,3.981071705535034e-06,13936.662666638282,8.254041852680174e-05,665.44,31.8616,327,287.9
14,-5.5556,4.126,-3.6389,2.7825594022071713e-06,13365.421305024549,0.0002296736176338634,707.3,33.8656,327,288.9
15,-6.1481,3.3868,-3.3148,7.109709432312628e-07,2436.7996765928433,0.0004843788649541031,851.02,40.7469,327,291.2
16,-5.037,4.4047,-4.2037,9.182542835656375e-06,25391.209590873543,6.255993607717623e-05,647.07,30.9818,327,289.0
17,-4.9136,4.1906,-4.5525,1.2201683428846819e-05,15509.896905127252,2.802404774326377e-05,667.79,31.9742,327,286.7
18,-5.0741,4.1745,-4.3241,8.431909292866372e-06,14943.500642163553,4.741611045635227e-05,643.11,30.7922,327,286.6
19,-4.8519,4.1926,-4.2685,1.4065272421052508e-05,15582.189498974712,5.3886686734976575e-05,680.5,32.5826,327,288.5
20,-5.263,4.1563,-4.1296,5.458044058135433e-06,14330.99061316357,7.419427072122865e-05,648.09,31.0306,327,287.8
21,-4.9827,4.5642,-4.4383,1.0406003092303074e-05,36663.12373817973,3.645259035005173e-05,653.06,31.2685,327,288.2
22,-5.1957,4.0856,-4.1096,6.372663513354977e-06,12178.428254502543,7.770198235128707e-05,644.57,30.8624,327,288.0
23,-4.9416,4.2869,-4.2953,1.1440268411527476e-05,19358.651772780522,5.06678539806197e-05,660.17,31.6093,327,286.8
24,-5.1826,4.1889,-4.171,6.567299630782925e-06,15449.909349064621,6.744673102550012e-05,642.94,30.7844,327,286.4
