trial,c_prime,phi_prime,fs,objective
1,79.3,19.0,1.00187,3.5e-06
2,55.51,19.0,0.88319,0.01364466
3,79.3,18.0,0.965723,0.00117493
4,103.09,18.0,1.074082,0.00548813
5,91.195,18.25,1.028852,0.00083244
6,91.195,19.25,1.065076,0.00423489
7,82.2738,18.3125,0.990498,9.03e-05
8,70.3788,19.0625,0.963618,0.00132363
9,85.9909,18.4531,1.012483,0.00015583
10,75.5828,18.8594,0.979867,0.00040532
11,83.3889,18.5547,1.004315,1.862e-05
12,80.4152,19.2422,1.01576,0.00024837
13,81.8091,18.5449,0.996775,1.04e-05
14,77.7202,18.9902,0.994333,3.211e-05
15,81.9717,18.6636,1.00181,3.28e-06
16,79.4626,19.1187,1.006929,4.801e-05
17,81.2225,18.6884,0.999301,4.9e-07
18,83.8942,18.3519,0.99929,5e-07
19,83.145,18.3767,0.996777,1.039e-05
20,82.265,18.5919,1.000549,3e-07
21,79.5933,18.9283,1.000597,3.6e-07
22,80.6359,18.8318,1.001833,3.36e-06
23,81.0758,18.7242,0.999931,0.0
24,83.7476,18.3878,0.999919,1e-08
25,82.5583,18.5201,0.999286,5.1e-07
26,82.3384,18.5739,1.000231,5e-08
27,82.485,18.5381,0.999604,1.6e-07
28,82.375,18.565,1.000076,1e-08
29,79.7033,18.9014,1.00012,1e-08
30,82.7365,18.5162,0.999956,0.0
31,81.4373,18.6754,0.999807,4e-08
32,82.1406,18.5926,1.000008,0.0
33,83.8013,18.3846,1.000047,0.0
34,83.1199,18.4695,1.000013,0.0
