trial,c_awyc,phi_awyc,c_wyc,phi_wyc,fs,slip_depth_ft,obs_depth_ft,slip_cx,slip_cy,slip_r,cost,solve_s,status
1,79.3,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,298.0,OK
2,83.27,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,302.5,OK
3,79.3,19.95,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,300.4,OK
4,79.3,19.0,260.93,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,302.7,OK
5,79.3,19.0,248.5,19.95,0.99921,,23.0,121.41,104.83,49.89,0.007386,301.5,OK
6,81.28,19.475,254.71,18.05,0.99921,,23.0,121.41,104.83,49.89,0.007386,302.6,OK
7,79.8,19.119,250.05,19.475,0.99921,,23.0,121.41,104.83,49.89,0.007386,306.0,OK
8,81.28,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,303.2,OK
9,79.3,19.475,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,306.1,OK
10,79.3,19.0,254.71,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,305.3,OK
11,79.3,19.0,248.5,19.475,0.99921,,23.0,121.41,104.83,49.89,0.007386,304.5,OK
12,80.29,19.237,251.61,18.525,0.99921,,23.0,121.41,104.83,49.89,0.007386,307.1,OK
13,79.55,19.059,249.28,19.238,0.99921,,23.0,121.41,104.83,49.89,0.007386,304.0,OK
14,80.29,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,305.3,OK
15,79.3,19.238,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,304.8,OK
16,79.3,19.0,251.61,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,304.4,OK
17,79.3,19.0,248.5,19.238,0.99921,,23.0,121.41,104.83,49.89,0.007386,305.3,OK
18,79.8,19.119,250.05,18.762,0.99921,,23.0,121.41,104.83,49.89,0.007386,302.9,OK
19,79.42,19.03,248.89,19.119,0.99921,,23.0,121.41,104.83,49.89,0.007386,299.6,OK
20,79.8,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,307.6,OK
21,79.3,19.119,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,296.7,OK
22,79.3,19.0,250.05,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,286.3,OK
23,79.3,19.0,248.5,19.119,0.99921,,23.0,121.41,104.83,49.89,0.007386,284.4,OK
24,79.55,19.059,249.28,18.881,0.99921,,23.0,121.41,104.83,49.89,0.007386,285.9,OK
25,79.36,19.015,248.69,19.059,0.99921,,23.0,121.41,104.83,49.89,0.007386,284.4,OK
26,79.55,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,284.2,OK
27,79.3,19.059,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,286.1,OK
28,79.3,19.0,249.28,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,286.4,OK
29,79.3,19.0,248.5,19.059,0.99921,,23.0,121.41,104.83,49.89,0.007386,285.7,OK
30,79.42,19.03,248.89,18.941,0.99921,,23.0,121.41,104.83,49.89,0.007386,286.0,OK
31,79.33,19.007,248.6,19.03,0.99921,,23.0,121.41,104.83,49.89,0.007386,285.1,OK
32,79.42,19.0,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,286.7,OK
33,79.3,19.03,248.5,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,285.3,OK
34,79.3,19.0,248.89,19.0,0.99921,,23.0,121.41,104.83,49.89,0.007386,286.9,OK
35,79.3,19.0,248.5,19.03,0.99921,,23.0,121.41,104.83,49.89,0.007386,284.4,OK
