Node,X_ft,Y_ft
1,0.0,0.0
2,0.0,9.6
3,0.0,19.2
4,0.0,28.8
5,0.0,38.4
6,0.0,48.0
7,0.0,52.0
8,0.0,60.0
9,10.0,9.6
10,10.0,38.4
11,10.0,0.0
12,10.0,19.2
13,10.0,28.8
14,10.0,48.0
15,10.0,52.0
16,10.0,60.0
17,20.0,9.6
18,20.0,38.4
19,20.0,0.0
20,20.0,19.2
21,20.0,28.8
22,20.0,48.0
23,20.0,52.0
24,20.0,60.0
25,30.0,38.4
26,30.0,0.0
27,30.0,48.0
28,30.0,52.0
29,30.0,60.0
30,30.0,9.6
31,30.0,19.2
32,30.0,28.8
33,40.0,9.6
34,40.0,38.4
35,40.0,0.0
36,40.0,19.2
37,40.0,28.8
38,40.0,48.0
39,40.0,52.0
40,40.0,60.0
41,50.0,9.6
42,50.0,19.2
43,50.0,28.8
44,50.0,38.4
45,50.0,0.0
46,50.0,48.0
47,50.0,52.0
48,50.0,60.0
49,60.0,38.4
50,60.0,0.0
51,60.0,48.0
52,60.0,52.0
53,60.0,60.0
54,60.0,9.6
55,60.0,19.2
56,60.0,28.8
57,70.0,0.0
58,70.0,9.6
59,70.0,19.2
60,70.0,28.8
61,70.0,38.4
62,70.0,48.0
63,70.0,52.0
64,70.0,60.0
65,80.0,9.6
66,80.0,38.4
67,80.0,0.0
68,80.0,19.2
69,80.0,28.8
70,80.0,48.0
71,80.0,52.0
72,80.0,60.0
73,90.0,9.6
74,90.0,38.4
75,90.0,0.0
76,90.0,19.2
77,90.0,28.8
78,90.0,48.0
79,90.0,52.0
80,90.0,60.0
81,100.0,9.6
82,100.0,19.2
83,100.0,28.8
84,100.0,38.4
85,100.0,0.0
86,100.0,48.0
87,100.0,52.0
88,100.0,60.0
89,110.0,0.0
90,110.0,9.6
91,110.0,19.2
92,110.0,28.8
93,110.0,38.4
94,110.0,48.0
95,110.0,52.0
96,110.0,60.0
97,119.8571,51.2857
98,119.8571,55.2857
99,119.8571,63.2857
100,120.0,38.4
101,120.0,0.0
102,120.0,9.6
103,120.0,19.2
104,120.0,48.0
105,120.0,28.8
106,129.7143,54.5714
107,129.7143,58.5714
108,129.7143,66.5714
109,130.0,0.0
110,130.0,9.6
111,130.0,19.2
112,130.0,28.8
113,130.0,38.4
114,130.0,48.0
115,139.5714,57.8571
116,139.5714,61.8571
117,139.5714,69.8571
118,140.0,0.0
119,140.0,9.6
120,140.0,19.2
121,140.0,28.8
122,140.0,38.4
123,140.0,48.0
124,149.4286,61.1429
125,149.4286,65.1429
126,149.4286,73.1429
127,150.0,0.0
128,150.0,9.6
129,150.0,19.2
130,150.0,28.8
131,150.0,38.4
132,150.0,48.0
133,159.2857,64.4286
134,159.2857,68.4286
135,159.2857,76.4286
136,160.0,9.6
137,160.0,38.4
138,160.0,0.0
139,160.0,19.2
140,160.0,28.8
141,160.0,48.0
142,169.1429,67.7143
143,169.1429,71.7143
144,169.1429,79.7143
145,169.5712,60.7365
146,170.0,0.0
147,170.0,9.6
148,170.0,19.2
149,170.0,28.8
150,170.0,38.4
151,170.0,48.0
152,179.0,71.0
153,179.0,75.0
154,179.0,83.0
155,179.6607,60.1891
156,180.0,9.6
157,180.0,38.4
158,180.0,0.0
159,180.0,19.2
160,180.0,28.8
161,180.0,48.0
162,189.25,71.0
163,189.25,75.0
164,189.25,83.0
165,189.841,59.7642
166,190.0,0.0
167,190.0,9.6
168,190.0,19.2
169,190.0,28.8
170,190.0,38.4
171,190.0,48.0
172,199.5,71.0
173,199.5,75.0
174,199.5,83.0
175,199.972,59.6632
176,200.0,9.6
177,200.0,19.2
178,200.0,28.8
179,200.0,38.4
180,200.0,48.0
181,200.0,0.0
182,209.75,71.0
183,209.75,75.0
184,209.75,83.0
185,209.8982,59.5685
186,210.0,0.0
187,210.0,9.6
188,210.0,19.2
189,210.0,28.8
190,210.0,38.4
191,210.0,48.0
192,220.0,0.0
193,220.0,9.6
194,220.0,19.2
195,220.0,28.8
196,220.0,38.4
197,220.0,48.0
198,220.0,59.5
199,220.0,71.0
200,220.0,75.0
201,220.0,83.0
