# Transient PWP + FS - H18
# Source: E:\Github\MCP_Geostudio\seepw_generation\training\H18
# Rain scenarios: 1, Total rows: 1035
# Units: time=days, rain=inches, PWP=psf, FS=dimensionless
#
rain_id,step,elapsed_days,step_rain_in,cum_rain_in,fs,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,n_nodes,PWP_N001,PWP_N002,PWP_N003,PWP_N004,PWP_N005,PWP_N006,PWP_N007,PWP_N008,PWP_N009,PWP_N010,PWP_N011,PWP_N012,PWP_N013,PWP_N014,PWP_N015,PWP_N016,PWP_N017,PWP_N018,PWP_N019,PWP_N020,PWP_N021,PWP_N022,PWP_N023,PWP_N024,PWP_N025,PWP_N026,PWP_N027,PWP_N028,PWP_N029,PWP_N030,PWP_N031,PWP_N032,PWP_N033,PWP_N034,PWP_N035,PWP_N036,PWP_N037,PWP_N038,PWP_N039,PWP_N040,PWP_N041,PWP_N042,PWP_N043,PWP_N044,PWP_N045,PWP_N046,PWP_N047,PWP_N048,PWP_N049,PWP_N050,PWP_N051,PWP_N052,PWP_N053,PWP_N054,PWP_N055,PWP_N056,PWP_N057,PWP_N058,PWP_N059,PWP_N060,PWP_N061,PWP_N062,PWP_N063,PWP_N064,PWP_N065,PWP_N066,PWP_N067,PWP_N068,PWP_N069,PWP_N070,PWP_N071,PWP_N072,PWP_N073,PWP_N074,PWP_N075,PWP_N076,PWP_N077,PWP_N078,PWP_N079,PWP_N080,PWP_N081,PWP_N082,PWP_N083,PWP_N084,PWP_N085,PWP_N086,PWP_N087,PWP_N088,PWP_N089,PWP_N090,PWP_N091,PWP_N092,PWP_N093,PWP_N094,PWP_N095,PWP_N096,PWP_N097,PWP_N098,PWP_N099,PWP_N100,PWP_N101,PWP_N102,PWP_N103,PWP_N104,PWP_N105,PWP_N106,PWP_N107,PWP_N108,PWP_N109,PWP_N110,PWP_N111,PWP_N112,PWP_N113,PWP_N114,PWP_N115,PWP_N116,PWP_N117,PWP_N118,PWP_N119,PWP_N120,PWP_N121,PWP_N122,PWP_N123,PWP_N124,PWP_N125,PWP_N126,PWP_N127,PWP_N128,PWP_N129,PWP_N130,PWP_N131,PWP_N132,PWP_N133,PWP_N134,PWP_N135,PWP_N136,PWP_N137,PWP_N138,PWP_N139,PWP_N140,PWP_N141,PWP_N142,PWP_N143,PWP_N144,PWP_N145,PWP_N146,PWP_N147,PWP_N148,PWP_N149,PWP_N150,PWP_N151,PWP_N152,PWP_N153,PWP_N154,PWP_N155,PWP_N156,PWP_N157,PWP_N158,PWP_N159,PWP_N160,PWP_N161,PWP_N162,PWP_N163,PWP_N164,PWP_N165,PWP_N166,PWP_N167,PWP_N168,PWP_N169,PWP_N170,PWP_N171,PWP_N172,PWP_N173,PWP_N174,PWP_N175,PWP_N176,PWP_N177,PWP_N178,PWP_N179,PWP_N180,PWP_N181,PWP_N182,PWP_N183,PWP_N184,PWP_N185,PWP_N186,PWP_N187,PWP_N188,PWP_N189,PWP_N190,PWP_N191,PWP_N192,PWP_N193,PWP_N194,PWP_N195,PWP_N196,PWP_N197,PWP_N198,PWP_N199,PWP_N200,PWP_N201
18,0,5.0,1.771654,1.771654,1.63649,,,,,,201,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,849.0506,3246.3698,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,849.0506,3246.3698,249.7208,0.0,-499.4415,849.0506,3246.3698,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,849.0506,3246.3698,249.7208,0.0,-499.4415,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,44.593,-205.1278,-704.5693,849.0506,3246.3698,2647.04,2047.7102,249.7208,1448.3804,-160.5348,-410.2555,-909.697,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-365.6625,-615.3833,-1114.8248,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-570.7903,-820.511,-1319.9526,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-775.9181,-1025.6388,-1525.0803,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,-981.0458,-1230.7666,-1730.2081,-545.4215,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-1186.1736,-1435.8943,-1935.3358,-511.2451,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,-1186.1736,-1435.8943,-1935.3358,-484.721,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-1186.1736,-1435.8943,-1935.3358,-478.4132,2647.04,2047.7102,1448.3804,849.0506,249.7208,3246.3698,-1186.1736,-1435.8943,-1935.3358,-472.5049,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-468.2264,-1186.1736,-1435.8943,-1935.3358
18,1,6.0,0.314961,2.086614,1.000419,,,,,,201,3247.1848,2648.8274,2054.7351,1477.4054,969.3339,748.2766,498.7658,0.0,2648.8274,969.3339,3247.1848,2054.7351,1477.4054,748.2766,498.7658,0.0,2648.8274,969.3339,3247.1848,2054.7351,1477.4054,748.2766,498.7658,0.0,969.3339,3247.1848,748.2766,498.7658,0.0,2648.8274,2054.7351,1477.4054,2648.8273,969.3339,3247.1847,2054.735,1477.4054,748.2767,498.7658,0.0,2648.8269,2054.7346,1477.405,969.3337,3247.1843,748.2766,498.7658,0.0,969.3324,3247.1828,748.2768,498.7659,0.0,2648.8252,2054.7326,1477.403,3247.1769,2648.8181,2054.7228,1477.3924,969.3254,748.2759,498.7654,0.0,2648.7911,969.2833,3247.1597,2054.6768,1477.3346,748.2795,498.7675,0.0,2648.7153,969.0137,3247.1193,2054.4598,1477.0121,748.2657,498.7593,0.0,2648.5559,2053.8781,1474.9008,967.1515,3247.0453,748.315,498.7887,0.0,3246.9365,2648.3041,2052.8054,1470.244,943.2024,748.105,498.6614,0.0,748.4337,498.8335,0.0,910.9474,3246.807,2647.9951,2051.4376,422.3203,1463.4691,747.9373,498.4713,0.0,3246.6799,2647.6964,2050.1356,1457.5791,879.5902,356.5209,747.4855,498.1582,0.0,3246.5752,2647.4613,2049.2042,1453.7457,869.1074,326.3999,747.429,498.1229,0.0,3246.5005,2647.3042,2048.6385,1451.9065,862.6986,309.2184,745.4813,496.8046,0.0,2647.2058,858.2947,3246.4517,2048.3067,1450.6823,279.7915,749.0699,499.2561,0.0,-327.1048,3246.4203,2647.1427,2048.0787,1449.7963,854.2895,275.1975,742.4472,494.6042,0.0,-422.1172,2647.1,851.9006,3246.3998,2047.9194,1449.1356,256.7387,-1130.4239,-1424.3472,0.0,-444.3186,3246.3864,2647.0721,2047.8147,1448.7321,850.022,252.336,-1182.7296,-1435.8921,0.0,-475.9619,2647.0555,2047.756,1448.5094,849.3956,250.694,3246.3783,-1185.9631,-1435.8921,0.0,-472.3296,3246.3742,2647.0473,2047.7287,1448.4272,849.1609,249.8518,3246.3729,2647.0448,2047.7215,1448.4061,849.0908,249.7595,-468.2004,-1186.1463,-1435.8921,0.0
18,2,7.0,0.511811,2.598425,0.999039,,,,,,201,3249.6771,2653.3206,2067.6857,1512.9527,1043.0406,749.0039,499.3358,0.0,2653.3206,1043.0406,3249.677,2067.6857,1512.9527,749.0039,499.3358,0.0,2653.3206,1043.0406,3249.677,2067.6856,1512.9526,749.0039,499.3358,0.0,1043.0406,3249.6769,749.0039,499.3358,0.0,2653.3205,2067.6855,1512.9525,2653.3199,1043.0403,3249.6763,2067.685,1512.9521,749.0039,499.3358,0.0,2653.3177,2067.6827,1512.9501,1043.0391,3249.6742,749.0038,499.3358,0.0,1043.0334,3249.6664,749.0039,499.3358,0.0,2653.3093,2067.6732,1512.9411,3249.6407,2653.2792,2067.6342,1512.9002,1043.0065,749.0036,499.3356,0.0,2653.1793,1042.8733,3249.5698,2067.4774,1512.7118,749.0045,499.3363,0.0,2652.9189,1042.1801,3249.4113,2066.8688,1511.8557,749.0002,499.3334,0.0,2652.3927,2065.3331,1507.6224,1038.5225,3249.1266,749.012,499.3412,0.0,3248.7114,2651.5719,2062.5649,1498.4716,1007.5275,748.9341,499.2894,0.0,749.0232,499.3487,0.0,962.9117,3248.2143,2650.5599,2059.0005,518.7594,1485.1345,749.029,499.3525,0.0,3247.7182,2649.559,2055.5036,1472.8292,917.4905,431.6533,749.0406,499.3601,0.0,3247.2973,2648.738,2052.8363,1464.0741,896.3913,385.0172,749.0678,499.3785,0.0,3246.9834,2648.1544,2051.0674,1459.0614,882.2427,355.9996,748.9885,499.3248,0.0,2647.7634,872.0481,3246.7672,2049.9269,1455.5357,309.721,749.0362,499.3584,0.0,-152.3249,3246.6213,2647.4989,2049.1148,1452.909,862.8513,298.0656,748.5143,499.0065,0.0,-341.2489,2647.3152,856.862,3246.5226,2048.5332,1450.916,267.8428,-1079.1854,-1417.4242,0.0,-406.9705,3246.4569,2647.1922,2048.1407,1449.6329,852.2002,256.9899,-1176.6112,-1435.8902,0.0,-471.5499,2647.1171,2047.9109,1448.8914,850.2546,252.5015,3246.4162,-1185.4041,-1435.8902,0.0,-471.8618,3246.3946,2647.0785,2047.7985,1448.5811,849.4639,250.2092,3246.388,2647.0668,2047.7671,1448.4975,849.2271,249.892,-468.1086,-1186.0502,-1435.8902,0.0
18,3,8.0,0.0,2.598425,0.999027,,,,,,201,3254.3428,2660.5797,2084.1376,1546.9525,1090.8959,749.0294,499.3529,0.0,2660.5796,1090.8959,3254.3428,2084.1376,1546.9524,749.0294,499.3529,0.0,2660.5795,1090.8959,3254.3427,2084.1375,1546.9524,749.0294,499.3529,0.0,1090.8957,3254.3421,749.0294,499.3529,0.0,2660.579,2084.137,1546.952,2660.5771,1090.8948,3254.3402,2084.1352,1546.9505,749.0294,499.3529,0.0,2660.5703,2084.1284,1546.9446,1090.8913,3254.3336,749.0294,499.3529,0.0,1090.8767,3254.3116,749.0295,499.353,0.0,2660.5469,2084.1029,1546.921,3254.2451,2660.4713,2084.0098,1546.8268,1090.8154,749.0292,499.3528,0.0,2660.2464,1090.5552,3254.0727,2083.6825,1546.4508,749.0298,499.3532,0.0,2659.6984,1089.4165,3253.7027,2082.5901,1544.9954,749.0261,499.3507,0.0,2658.6315,2079.9879,1539.1382,1084.4726,3253.0523,749.034,499.356,0.0,3252.1109,2656.9889,2075.4017,1526.7766,1052.9281,748.9682,499.3122,0.0,749.0409,499.3606,0.0,1005.1476,3250.9784,2654.9553,2069.4481,576.637,1508.7263,749.0396,499.3597,0.0,3249.8298,2652.9008,2063.4414,1491.1939,954.313,486.7548,749.0491,499.3661,0.0,3248.8277,2651.1518,2058.5952,1477.7352,925.1409,431.6814,749.0692,499.3795,0.0,3248.0504,2649.8408,2055.139,1469.004,903.9547,394.4289,749.0093,499.3395,0.0,2648.9119,887.9521,3247.4899,2052.7426,1462.5469,338.7519,749.0473,499.365,0.0,-12.0789,3247.0958,2648.255,2050.9769,1457.5902,873.5275,319.3908,748.5621,499.041,0.0,-268.302,2647.7868,863.4127,3246.8206,2049.6812,1453.7556,281.2269,-1031.7099,-1410.5428,0.0,-372.3761,3246.6333,2647.466,2048.7839,1451.1703,855.5279,263.1935,-1168.4293,-1435.8882,0.0,-465.5741,2647.2648,2048.2374,1449.6125,851.6904,255.0452,3246.5149,-1184.4111,-1435.8882,0.0,-471.0261,3246.4509,2647.1585,2047.9591,1448.8999,850.0213,250.8596,3246.4309,2647.1257,2047.8779,1448.6998,849.5169,250.1758,-467.9057,-1185.8384,-1435.8882,0.0
18,4,9.0,0.0,2.598425,1.077963,,,,,,201,3261.2002,2670.0518,2101.5055,1574.4018,1112.7964,703.449,453.7476,-45.6784,2670.0517,1112.7964,3261.2001,2101.5055,1574.4017,703.449,453.7476,-45.6784,2670.0513,1112.7962,3261.1997,2101.5051,1574.4015,703.4489,453.7476,-45.6785,1112.7956,3261.1983,703.4487,453.7473,-45.6787,2670.05,2101.5038,1574.4004,2670.0452,1112.7931,3261.1935,2101.4993,1574.3966,703.4478,453.7465,-45.6795,2670.0294,2101.4836,1574.3827,1112.7837,3261.178,703.4447,453.7434,-45.6827,1112.749,3261.1307,703.4331,453.7318,-45.6942,2669.9797,2101.4303,1574.3328,3260.9983,2669.8327,2101.2555,1574.1555,1112.6202,703.3902,453.6889,-45.7372,2669.4348,1112.1456,3260.6752,2100.7094,1573.5356,703.2322,453.5309,-45.8951,2668.5249,1110.384,3260.0087,2099.1134,1571.4681,702.6585,452.9574,-46.4684,2666.8185,2095.5386,1564.6302,1104.1915,3258.8629,700.3551,450.6547,-48.7706,3257.2177,2664.229,2089.401,1550.7296,1076.6548,694.0274,444.33,-55.0928,688.2259,438.5327,-60.8868,1033.307,3255.2308,2661.0139,2081.392,599.1419,1530.5038,695.8935,446.1948,-53.229,3253.1846,2657.7016,2073.0961,1509.8964,985.1879,521.8177,702.4694,452.7686,-46.6569,3251.3514,2654.7822,2066.0464,1492.8979,951.8134,466.4567,707.1973,457.4937,-41.9342,3249.877,2652.4872,2060.6801,1480.6426,925.4464,424.9217,702.7776,453.0754,-46.3512,2650.7784,904.4406,3248.7689,2056.7181,1471.1033,365.3845,660.3035,410.6097,-88.8108,91.0595,3247.9599,2649.5211,2053.6964,1463.5362,885.3377,338.8534,658.54,408.9204,-90.4384,-207.0312,2648.601,871.0504,3247.3784,2051.4215,1457.551,295.4821,-990.2563,-1404.6017,-0.7018,-342.094,3246.9738,2647.9561,2049.8055,1453.347,859.8074,270.4273,-1158.8334,-1435.8863,-3.0083,-458.4738,2647.5419,2048.7869,1450.7161,853.6902,258.1976,3246.7128,-1182.9465,-1435.8864,-3.0072,-469.7857,3246.5692,2647.3174,2048.2501,1449.43,850.8715,251.8404,3246.5239,2647.2472,2048.0884,1449.0564,850.0101,250.6626,-467.5473,-1185.4655,-1435.8864,-3.0072
18,5,10.0,0.433071,3.031496,1.141428,,,,,,201,3269.9188,2680.9911,2118.1665,1595.0977,1121.4127,668.2874,418.5815,-80.8482,2680.9909,1121.4126,3269.9186,2118.1663,1595.0975,668.2873,418.5815,-80.8482,2680.99,1121.4121,3269.9176,2118.1655,1595.0969,668.2871,418.5813,-80.8484,1121.4104,3269.9145,668.2864,418.5806,-80.8491,2680.9869,2118.1626,1595.0945,2680.9769,1121.4047,3269.9045,2118.1531,1595.0863,668.2839,418.5781,-80.8516,2680.9463,2118.1226,1595.0589,1121.3849,3269.8742,668.275,418.5692,-80.8605,1121.3178,3269.7885,668.2444,418.5386,-80.8911,2680.857,2118.0279,1594.9691,3269.5646,2680.6131,2117.7455,1594.681,1121.0926,668.1394,418.4336,-80.996,2680.0045,1120.3552,3269.0482,2116.9504,1593.7852,667.7844,418.0787,-81.3509,2678.6933,1117.9821,3268.0237,2114.8795,1591.1661,666.6228,416.9172,-82.5123,2676.3239,2110.5226,1583.8672,1110.9903,3266.3014,662.6584,412.9538,-86.475,3263.8504,2672.7832,2103.2541,1569.7034,1088.3417,653.3145,403.6101,-95.8184,638.2824,388.5846,-110.8386,1051.8688,3260.8806,2668.3795,2093.7448,604.7988,1549.2428,649.1406,399.4393,-99.9866,3257.7776,2663.7595,2083.6493,1527.4616,1009.6041,543.9122,659.677,409.9746,-89.4522,3254.9265,2659.5538,2074.6469,1508.2377,975.1901,492.6092,667.6472,417.9426,-81.4861,3252.5543,2656.1006,2067.3771,1493.062,945.6128,449.605,659.9604,410.2576,-89.1697,2653.4124,920.6789,3250.7026,2061.7011,1480.6293,389.4126,583.494,333.7943,-165.6296,165.8855,3249.3029,2651.3604,2057.2202,1470.4178,897.6244,356.77,576.2488,326.6224,-172.7339,-155.884,2649.8193,879.3817,3248.2687,2053.757,1462.1442,309.7829,-954.1277,-1402.1593,-1.8601,-315.552,3247.5335,2648.7145,2051.2349,1456.1156,864.8156,278.2943,-1148.3269,-1435.8845,-6.9447,-450.5977,2647.9891,2049.596,1452.2124,856.2034,261.8481,3247.0501,-1181.0053,-1435.8845,-6.9419,-468.1306,3246.7798,2647.5875,2048.7068,1450.2043,852.0344,253.1675,3246.6935,2647.4602,2048.4322,1449.6044,850.7449,251.3929,-466.9943,-1184.8915,-1435.8845,-6.9419
18,6,11.0,0.0,3.031496,0.999142,,,,,,201,3280.1794,2693.0916,2134.8784,1616.5428,1149.3791,748.9479,499.2848,0.0,2693.0912,1149.379,3280.1789,2134.878,1616.5425,748.9479,499.2848,0.0,2693.0893,1149.3782,3280.177,2134.8763,1616.5412,748.9479,499.2848,0.0,1149.3755,3280.1709,748.9479,499.2848,0.0,2693.0833,2134.8708,1616.5367,2693.0653,1149.3668,3280.1527,2134.8538,1616.5225,748.9479,499.2848,0.0,2693.0133,2134.8029,1616.4784,1149.3391,3280.101,748.9479,499.2848,0.0,1149.2517,3279.9633,748.9479,499.2848,0.0,2692.8714,2134.6563,1616.3446,3279.6251,2692.5098,2134.2527,1615.9509,1148.9829,748.9473,499.2844,0.0,2691.6649,1148.1781,3278.8824,2133.207,1614.8343,748.9476,499.2845,0.0,2689.9337,1145.8268,3277.4599,2130.6969,1611.8466,748.9406,499.2798,0.0,2686.9027,2125.6624,1604.12,1139.2816,3275.1181,748.9488,499.2845,0.0,3271.813,2682.4348,2117.4427,1589.4719,1115.8372,748.857,499.2223,0.0,748.9668,499.2909,0.0,1078.3168,3267.7965,2676.8687,2106.6644,639.4944,1568.2846,748.9325,499.2717,0.0,3263.5433,2670.9357,2094.9872,1545.1426,1034.1207,575.2994,748.93,499.2713,0.0,3259.5444,2665.3807,2084.1735,1523.8316,997.9666,521.8855,748.9616,499.2944,0.0,3256.114,2660.6481,2075.0281,1506.0623,965.5675,475.8853,748.8111,499.1928,0.0,2656.8214,937.1472,3253.3444,2067.5657,1490.9125,413.7893,749.0256,499.3312,0.0,245.4661,3251.1849,2653.8045,2061.4891,1478.0805,910.4577,375.6097,747.8903,498.5155,0.0,-101.8444,2651.4826,888.3826,3249.5481,2056.6749,1467.4411,324.466,-915.6676,-1395.3256,0.0,-287.0981,3248.3604,2649.7823,2053.0865,1459.4402,870.4592,286.823,-1136.8599,-1435.8825,0.0,-441.9099,2648.6433,2050.6921,1454.1039,859.2054,266.0217,3247.5655,-1178.5774,-1435.8826,0.0,-466.0467,3247.1143,2648.0007,2049.3604,1451.2483,853.5291,254.8566,3246.9688,2647.7947,2048.9412,1450.3754,851.752,252.4,-466.2114,-1184.0804,-1435.8826,0.0
18,7,12.0,0.07874,3.110236,1.067882,,,,,,201,3291.6255,2705.9526,2150.9693,1634.3828,1160.3662,712.5668,462.8615,-36.5677,2705.9518,1160.3658,3291.6247,2150.9686,1634.3823,712.5667,462.8614,-36.5678,2705.9484,1160.3643,3291.6212,2150.9656,1634.3798,712.5663,462.861,-36.5682,1160.3595,3291.6106,712.5649,462.8596,-36.5696,2705.938,2150.9561,1634.3722,2705.9085,1160.345,3291.5806,2150.9285,1634.3494,712.5608,462.8555,-36.5737,2705.8283,2150.8511,1634.2831,1160.302,3291.5003,712.5487,462.8435,-36.5857,1160.1772,3291.298,712.5145,462.8092,-36.62,2705.6219,2150.6425,1634.0965,3290.8265,2705.1258,2150.1069,1633.5878,1159.8245,712.4193,462.714,-36.7151,2704.03,1158.8567,3289.8352,2148.813,1632.2553,712.1624,462.4573,-36.9718,2701.8791,1156.262,3287.9958,2145.9109,1628.9524,711.4833,461.7784,-37.6505,2698.2168,2140.3304,1621.0587,1149.5989,3285.0248,709.5606,459.8565,-39.5717,3280.8641,2692.8838,2131.3965,1606.4924,1129.06,705.2467,455.5438,-43.8834,696.7933,447.0966,-52.3258,1095.5996,3275.7938,2686.2298,2119.6606,649.8546,1585.4417,701.8366,452.1354,-47.2905,3270.3577,2679.0351,2106.7114,1561.8138,1054.8812,594.4868,706.3363,456.6339,-42.793,3265.138,2672.1291,2094.3154,1539.1269,1018.4509,543.7798,709.8591,460.1545,-39.2742,3260.5357,2666.0531,2083.4065,1519.2222,984.2886,497.2736,708.1448,458.4411,-40.9867,2660.9752,953.1434,3256.7069,2074.1618,1501.6359,435.6619,674.3926,424.6917,-74.7346,301.8331,3253.637,2656.8556,2066.419,1486.3071,923.3671,392.9429,665.8518,416.226,-83.1378,-57.1509,2653.6117,897.7545,3251.255,2060.1402,1473.3104,338.8922,-882.2907,-1389.4354,-0.9758,-262.1889,3249.4929,2651.1887,2055.358,1463.2601,876.5877,295.6949,-1124.8509,-1435.8806,-3.941,-432.7066,2649.5352,2052.0917,1456.3788,862.6434,270.6047,3248.2937,-1175.6776,-1435.8807,-3.939,-463.5412,3247.6038,2648.5872,2050.2365,1452.5781,855.3589,256.9067,3247.3796,2648.2802,2049.6434,1451.394,853.0519,253.7068,-465.1697,-1183.0027,-1435.8807,-3.939
18,8,13.0,0.0,3.110236,0.999066,,,,,,201,3303.9675,2719.3639,2166.7641,1651.855,1178.6387,749.0242,499.3432,0.0,2719.3625,1178.6381,3303.9661,2166.7629,1651.854,749.0242,499.3432,0.0,2719.3569,1178.6359,3303.9602,2166.7578,1651.8501,749.0242,499.3432,0.0,1178.6291,3303.9433,749.0242,499.3432,0.0,2719.3404,2166.7429,1651.8383,2719.2957,1178.6095,3303.8978,2166.7017,1651.8051,749.0242,499.3432,0.0,2719.1806,2166.5925,1651.7142,1178.5549,3303.7818,749.0241,499.3432,0.0,1178.4062,3303.5037,749.0241,499.3431,0.0,2718.8997,2166.3152,1651.4737,3302.8848,2718.2582,2165.6446,1650.8602,1178.0127,749.0235,499.3428,0.0,2716.906,1177.0029,3301.6326,2164.1162,1649.3556,749.0233,499.3426,0.0,2714.3471,1174.4679,3299.3731,2160.8669,1645.8423,749.0186,499.3394,0.0,2710.0924,2154.8277,1637.8291,1168.2175,3295.7857,749.0219,499.3412,0.0,3290.7958,2703.9613,2145.3079,1623.2774,1148.173,748.968,499.305,0.0,749.0227,499.3388,0.0,1115.4054,3284.6987,2696.2987,2132.7788,672.0243,1602.1943,749.0062,499.3296,0.0,3278.0869,2687.9077,2118.7371,1578.0677,1074.8887,616.9514,749.0032,499.3281,0.0,3271.6161,2679.6759,2104.9221,1554.1881,1037.9691,566.2788,749.0212,499.341,0.0,3265.7692,2672.2299,2092.3594,1532.4496,1002.3619,518.6972,748.9344,499.2827,0.0,2665.8262,968.8997,3260.7734,2081.3707,1512.6659,456.9818,749.0827,499.3806,0.0,356.6932,3256.6665,2660.4972,2071.9331,1494.9763,936.3603,410.3123,748.2804,498.8152,0.0,-13.2673,2656.2121,907.44,3253.4109,2064.1141,1479.6618,353.2077,-848.9094,-1382.7009,0.0,-237.0848,3250.9588,2652.9518,2058.0396,1467.5256,883.119,304.88,-1112.3397,-1435.8787,0.0,-423.0215,2650.6896,2053.8048,1459.0225,866.4804,275.5804,3249.2642,-1172.3191,-1435.8788,0.0,-460.6209,3248.2773,2649.3739,2051.3557,1454.2038,857.5248,259.3149,3247.9544,2648.9444,2050.5631,1452.6786,854.6581,255.3286,-463.8459,-1181.6349,-1435.8788,0.0
18,9,14.0,0.0,3.110236,1.062581,,,,,,201,3316.9088,2733.0209,2181.7246,1666.1296,1184.5989,717.2917,467.5844,-31.8464,2733.0187,1184.598,3316.9065,2181.7227,1666.1282,717.2914,467.5841,-31.8467,2733.0099,1184.5943,3316.8974,2181.7148,1666.1221,717.2904,467.5832,-31.8477,1184.5838,3316.8721,717.2876,467.5803,-31.8505,2732.9853,2181.6927,1666.1047,2732.9218,1184.5552,3316.8071,2181.6347,1666.0581,717.2801,467.5728,-31.858,2732.7657,2181.4885,1665.9376,1184.48,3316.6489,717.2607,467.5535,-31.8774,1184.2879,3316.2859,717.212,467.5048,-31.926,2732.402,2181.1361,1665.6366,3315.5102,2731.6078,2180.3274,1664.9122,1183.8114,717.0932,467.386,-32.0448,2730.001,1182.6641,3313.9933,2178.5761,1663.2365,716.81,467.103,-32.3277,2727.0569,1179.9551,3311.3246,2175.0271,1659.536,716.1445,466.4376,-32.993,2722.2646,2168.6388,1651.5882,1173.7113,3307.1524,714.4699,464.7639,-34.6659,3301.3849,2715.4228,2158.7203,1637.4851,1156.5963,711.2362,461.5304,-37.8991,701.2516,451.5531,-47.8707,1128.0613,3294.3191,2706.8584,2145.6463,676.1709,1617.0597,704.9008,455.1983,-44.2287,3286.5753,2697.3698,2130.777,1593.134,1091.5381,630.0442,708.4312,458.7279,-40.6997,3278.8635,2687.8766,2115.7715,1568.6432,1055.3456,583.0244,711.4016,461.6964,-37.7327,3271.7389,2679.0742,2101.7145,1545.476,1019.1081,536.2402,710.8078,461.1034,-38.325,2671.3087,983.9503,3265.5037,2089.0633,1523.7895,475.9715,680.917,431.2129,-68.2157,393.9635,3260.2607,2664.6964,2077.9441,1503.9261,949.1205,426.2451,670.0522,420.4228,-78.9441,22.6021,2659.2752,917.2236,3256.0219,2068.5468,1486.3847,366.994,-820.0969,-1376.862,-0.976,-215.1644,3252.7756,2655.0799,2061.1118,1472.1746,889.9348,314.148,-1099.6458,-1435.8768,-3.9415,-413.0871,2652.1244,2055.8336,1462.0124,870.663,280.8511,3250.5002,-1168.5315,-1435.8769,-3.939,-457.3068,3249.1604,2650.384,2052.7331,1456.1284,860.0169,262.0668,3248.7193,2649.8115,2051.7194,1454.2409,856.5758,257.2721,-462.2236,-1179.9601,-1435.8769,-3.939
