rain_id,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,API_7d_mm,API_14d_mm,API_21d_mm,API_30d_mm,n_fs_steps,min_fs_calib_strength,min_fs_step,n_pwp_nodes,pwp_min,pwp_max,solve_time_s,status
1,1.647,5,0.4014,wet,6.0726,115.2,118.9,122.2,325.9,19,0.998964,18,201,-1435.8,3612.4,1035.6,OK
26,29.699,9,0.3773,wet,11.3273,98.4,184.6,248.9,312.2,23,0.998961,22,201,-1435.8,3632.0,1095.7,OK
52,406.988,9,0.2387,dry,15.3617,1.0,12.0,25.0,27.9,23,0.998961,22,201,-1435.8,3632.0,1110.1,OK
77,6.085,6,0.3961,wet,8.0086,145.6,185.4,262.9,275.4,20,0.998963,19,201,-1435.8,3617.6,1094.7,OK
2,41.417,6,0.2224,normal,10.7794,9.6,28.1,65.4,196.5,20,0.998963,19,201,-1435.8,3617.6,1125.5,OK
27,96.97,8,0.0355,dry,12.7547,2.3,9.0,27.2,71.9,22,0.998962,21,201,-1435.8,3627.4,1103.1,OK
53,23.787,10,0.5631,dry,11.3192,2.2,13.9,17.5,44.4,24,0.998961,23,201,-1435.8,3636.4,1108.7,OK
78,5.152,8,0.3052,normal,8.43,43.3,45.4,64.1,161.3,22,0.998962,21,201,-1435.8,3627.4,1109.2,OK
79,7.295,1,0.8063,dry,5.7825,2.5,6.2,25.8,61.9,15,0.998966,14,201,-1435.8,3589.5,629.1,OK
3,11.121,4,0.7463,normal,8.0909,30.4,56.6,105.0,182.1,18,0.998964,17,201,-1435.8,3607.0,1063.6,OK
28,2.276,3,0.6654,wet,5.6443,88.1,169.1,204.8,345.0,17,0.998965,16,201,-1435.8,3601.4,1118.5,OK
54,11.858,6,0.9528,normal,8.9321,37.5,68.7,96.8,147.4,20,0.998963,19,201,-1435.8,3617.6,1152.9,OK
80,57.361,2,0.997,dry,9.4737,3.3,5.4,14.7,30.0,16,0.998966,15,201,-1435.8,3595.6,536.7,OK
81,578.775,1,0.0667,normal,11.9043,35.4,37.8,55.9,108.6,15,0.998966,14,201,-1435.8,3589.5,656.4,OK
4,5.379,10,0.8856,normal,9.0914,45.7,48.3,67.9,157.6,24,0.998961,23,201,-1435.8,3636.4,1146.1,OK
29,8.333,3,0.9482,normal,7.2834,15.7,49.6,103.2,164.6,17,0.998965,16,201,-1435.8,3601.4,1083.5,OK
