Node,X_ft,Y_ft
1,0.0,0.0
2,0.0,9.6
3,0.0,19.2
4,0.0,28.8
5,0.0,38.4
6,0.0,48.0
7,0.0,52.0
8,0.0,60.0
9,10.0,9.6
10,10.0,38.4
11,10.0,0.0
12,10.0,19.2
13,10.0,28.8
14,10.0,48.0
15,10.0,52.0
16,10.0,60.0
17,20.0,9.6
18,20.0,38.4
19,20.0,0.0
20,20.0,19.2
21,20.0,28.8
22,20.0,48.0
23,20.0,52.0
24,20.0,60.0
25,30.0,38.4
26,30.0,0.0
27,30.0,48.0
28,30.0,52.0
29,30.0,60.0
30,30.0,9.6
31,30.0,19.2
32,30.0,28.8
33,40.0,9.6
34,40.0,38.4
35,40.0,0.0
36,40.0,19.2
37,40.0,28.8
38,40.0,48.0
39,40.0,52.0
40,40.0,60.0
41,50.0,9.6
42,50.0,19.2
43,50.0,28.8
44,50.0,38.4
45,50.0,0.0
46,50.0,48.0
47,50.0,52.0
48,50.0,60.0
49,60.0,38.4
50,60.0,0.0
51,60.0,48.0
52,60.0,52.0
53,60.0,60.0
54,60.0,9.6
55,60.0,19.2
56,60.0,28.8
57,70.0,0.0
58,70.0,9.6
59,70.0,19.2
60,70.0,28.8
61,70.0,38.4
62,70.0,48.0
63,70.0,52.0
64,70.0,60.0
65,80.0,9.6
66,80.0,38.4
67,80.0,0.0
68,80.0,19.2
69,80.0,28.8
70,80.0,48.0
71,80.0,52.0
72,80.0,60.0
73,90.0,9.6
74,90.0,38.4
75,90.0,0.0
76,90.0,19.2
77,90.0,28.8
78,90.0,48.0
79,90.0,52.0
80,90.0,60.0
81,100.0,9.6
82,100.0,19.2
83,100.0,28.8
84,100.0,38.4
85,100.0,0.0
86,100.0,48.0
87,100.0,52.0
88,100.0,60.0
89,110.0,0.0
90,110.0,9.6
91,110.0,19.2
92,110.0,28.8
93,110.0,38.4
94,110.0,48.0
95,110.0,52.0
96,110.0,60.0
97,118.625,52.0
98,118.625,56.0
99,118.625,63.75
100,120.0,38.4
101,120.0,0.0
102,120.0,9.6
103,120.0,19.2
104,120.0,48.0
105,120.0,28.8
106,127.25,56.0
107,127.25,60.0
108,127.25,67.5
109,130.0,0.0
110,130.0,9.6
111,130.0,19.2
112,130.0,28.8
113,130.0,38.4
114,130.0,48.0
115,135.875,60.0
116,135.875,64.0
117,135.875,71.25
118,140.0,0.0
119,140.0,9.6
120,140.0,19.2
121,140.0,28.8
122,140.0,38.4
123,140.0,48.0
124,144.5,64.0
125,144.5,68.0
126,144.5,75.0
127,149.6983,55.74
128,150.0,0.0
129,150.0,9.6
130,150.0,19.2
131,150.0,28.8
132,150.0,38.4
133,150.0,48.0
134,153.125,68.0
135,153.125,72.0
136,153.125,78.75
137,157.9784,58.2407
138,160.0,9.6
139,160.0,38.4
140,160.0,0.0
141,160.0,19.2
142,160.0,28.8
143,160.0,48.0
144,161.75,72.0
145,161.75,76.0
146,161.75,82.5
147,168.4027,61.9895
148,170.0,0.0
149,170.0,9.6
150,170.0,19.2
151,170.0,28.8
152,170.0,38.4
153,170.0,48.0
154,170.375,76.0
155,170.375,80.0
156,170.375,86.25
157,173.5981,69.3246
158,179.0,80.0
159,179.0,84.0
160,179.0,90.0
161,179.1511,60.8792
162,180.0,9.6
163,180.0,38.4
164,180.0,0.0
165,180.0,19.2
166,180.0,28.8
167,180.0,48.0
168,181.5469,69.2303
169,189.25,80.0
170,189.25,84.0
171,189.25,90.0
172,189.6577,59.8955
173,190.0,0.0
174,190.0,9.6
175,190.0,19.2
176,190.0,28.8
177,190.0,38.4
178,190.0,48.0
179,190.6434,69.1415
180,199.5,80.0
181,199.5,84.0
182,199.5,90.0
183,199.7326,59.3136
184,199.8737,69.2955
185,200.0,9.6
186,200.0,19.2
187,200.0,28.8
188,200.0,38.4
189,200.0,48.0
190,200.0,0.0
191,209.75,80.0
192,209.75,84.0
193,209.75,90.0
194,209.7955,58.7741
195,210.0,0.0
196,210.0,9.6
197,210.0,19.2
198,210.0,28.8
199,210.0,38.4
200,210.0,48.0
201,210.0807,69.2171
202,220.0,0.0
203,220.0,9.6
204,220.0,19.2
205,220.0,28.8
206,220.0,38.4
207,220.0,48.0
208,220.0,58.6667
209,220.0,69.3333
210,220.0,80.0
211,220.0,84.0
212,220.0,90.0
