Node,X_ft,Y_ft
1,0.0,0.0
2,0.0,9.6
3,0.0,19.2
4,0.0,28.8
5,0.0,38.4
6,0.0,48.0
7,0.0,52.0
8,0.0,60.0
9,10.0,9.6
10,10.0,38.4
11,10.0,0.0
12,10.0,19.2
13,10.0,28.8
14,10.0,48.0
15,10.0,52.0
16,10.0,60.0
17,20.0,9.6
18,20.0,38.4
19,20.0,0.0
20,20.0,19.2
21,20.0,28.8
22,20.0,48.0
23,20.0,52.0
24,20.0,60.0
25,30.0,38.4
26,30.0,0.0
27,30.0,48.0
28,30.0,52.0
29,30.0,60.0
30,30.0,9.6
31,30.0,19.2
32,30.0,28.8
33,40.0,9.6
34,40.0,38.4
35,40.0,0.0
36,40.0,19.2
37,40.0,28.8
38,40.0,48.0
39,40.0,52.0
40,40.0,60.0
41,50.0,9.6
42,50.0,19.2
43,50.0,28.8
44,50.0,38.4
45,50.0,0.0
46,50.0,48.0
47,50.0,52.0
48,50.0,60.0
49,60.0,38.4
50,60.0,0.0
51,60.0,48.0
52,60.0,52.0
53,60.0,60.0
54,60.0,9.6
55,60.0,19.2
56,60.0,28.8
57,70.0,0.0
58,70.0,9.6
59,70.0,19.2
60,70.0,28.8
61,70.0,38.4
62,70.0,48.0
63,70.0,52.0
64,70.0,60.0
65,80.0,9.6
66,80.0,38.4
67,80.0,0.0
68,80.0,19.2
69,80.0,28.8
70,80.0,48.0
71,80.0,52.0
72,80.0,60.0
73,90.0,9.6
74,90.0,38.4
75,90.0,0.0
76,90.0,19.2
77,90.0,28.8
78,90.0,48.0
79,90.0,52.0
80,90.0,60.0
81,100.0,9.6
82,100.0,19.2
83,100.0,28.8
84,100.0,38.4
85,100.0,0.0
86,100.0,48.0
87,100.0,52.0
88,100.0,60.0
89,110.0,0.0
90,110.0,9.6
91,110.0,19.2
92,110.0,28.8
93,110.0,38.4
94,110.0,48.0
95,110.0,52.0
96,110.0,60.0
97,118.625,53.0
98,118.625,57.0
99,118.625,65.0
100,120.0,38.4
101,120.0,0.0
102,120.0,9.6
103,120.0,19.2
104,120.0,48.0
105,120.0,28.8
106,127.25,58.0
107,127.25,62.0
108,127.25,70.0
109,130.0,0.0
110,130.0,9.6
111,130.0,19.2
112,130.0,28.8
113,130.0,38.4
114,130.0,48.0
115,135.875,63.0
116,135.875,67.0
117,135.875,75.0
118,139.4824,55.3825
119,140.0,0.0
120,140.0,9.6
121,140.0,19.2
122,140.0,28.8
123,140.0,38.4
124,140.0,48.0
125,144.5,68.0
126,144.5,72.0
127,144.5,80.0
128,149.75,58.6875
129,150.0,0.0
130,150.0,9.6
131,150.0,19.2
132,150.0,28.8
133,150.0,38.4
134,150.0,48.0
135,153.125,73.0
136,153.125,77.0
137,153.125,85.0
138,160.0,9.6
139,160.0,38.4
140,160.0,0.0
141,160.0,19.2
142,160.0,28.8
143,160.0,48.0
144,160.6715,61.5874
145,161.75,78.0
146,161.75,82.0
147,161.75,90.0
148,166.75,69.375
149,170.0,0.0
150,170.0,9.6
151,170.0,19.2
152,170.0,28.8
153,170.0,38.4
154,170.0,48.0
155,170.375,83.0
156,170.375,87.0
157,170.375,95.0
158,171.1114,57.3836
159,172.7801,64.6651
160,175.7303,74.8315
161,179.0,88.0
162,179.0,92.0
163,179.0,100.0
164,180.0,9.6
165,180.0,38.4
166,180.0,0.0
167,180.0,19.2
168,180.0,28.8
169,180.0,48.0
170,180.0,58.0
171,180.7828,67.4334
172,186.5014,78.784
173,189.25,88.0
174,189.25,92.0
175,189.25,100.0
176,189.3399,69.2092
177,189.5602,59.3803
178,190.0,0.0
179,190.0,9.6
180,190.0,19.2
181,190.0,28.8
182,190.0,38.4
183,190.0,48.0
184,197.6381,79.0005
185,199.0038,68.7491
186,199.5,88.0
187,199.5,92.0
188,199.5,100.0
189,199.5139,58.6719
190,200.0,9.6
191,200.0,19.2
192,200.0,28.8
193,200.0,38.4
194,200.0,48.0
195,200.0,0.0
196,208.9212,78.4471
197,209.6227,68.2728
198,209.75,88.0
199,209.75,92.0
200,209.75,100.0
201,209.7769,58.2305
202,210.0,0.0
203,210.0,9.6
204,210.0,19.2
205,210.0,28.8
206,210.0,38.4
207,210.0,48.0
208,220.0,0.0
209,220.0,9.6
210,220.0,19.2
211,220.0,28.8
212,220.0,38.4
213,220.0,48.0
214,220.0,58.0
215,220.0,68.0
216,220.0,78.0
217,220.0,88.0
218,220.0,92.0
219,220.0,100.0
