# Transient PWP + FS - unknown
# Source: E:\Github\MCP_Geostudio\training\solved_gsz
# Rain scenarios: 100, Total rows: 1950
# Units: time=days, rain=inches, PWP=psf, FS=dimensionless
#
rain_id,step,elapsed_days,step_rain_in,cum_rain_in,fs,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,n_nodes,PWP_N001,PWP_N002,PWP_N003,PWP_N004,PWP_N005,PWP_N006,PWP_N007,PWP_N008,PWP_N009,PWP_N010,PWP_N011,PWP_N012,PWP_N013,PWP_N014,PWP_N015,PWP_N016,PWP_N017,PWP_N018,PWP_N019,PWP_N020,PWP_N021,PWP_N022,PWP_N023,PWP_N024,PWP_N025,PWP_N026,PWP_N027,PWP_N028,PWP_N029,PWP_N030,PWP_N031,PWP_N032,PWP_N033,PWP_N034,PWP_N035,PWP_N036,PWP_N037,PWP_N038,PWP_N039,PWP_N040,PWP_N041,PWP_N042,PWP_N043,PWP_N044,PWP_N045,PWP_N046,PWP_N047,PWP_N048,PWP_N049,PWP_N050,PWP_N051,PWP_N052,PWP_N053,PWP_N054,PWP_N055,PWP_N056,PWP_N057,PWP_N058,PWP_N059,PWP_N060,PWP_N061,PWP_N062,PWP_N063,PWP_N064,PWP_N065,PWP_N066,PWP_N067,PWP_N068,PWP_N069,PWP_N070,PWP_N071,PWP_N072,PWP_N073,PWP_N074,PWP_N075,PWP_N076,PWP_N077,PWP_N078,PWP_N079,PWP_N080,PWP_N081,PWP_N082,PWP_N083,PWP_N084,PWP_N085,PWP_N086,PWP_N087,PWP_N088,PWP_N089,PWP_N090,PWP_N091,PWP_N092,PWP_N093,PWP_N094,PWP_N095,PWP_N096,PWP_N097,PWP_N098,PWP_N099,PWP_N100,PWP_N101,PWP_N102,PWP_N103,PWP_N104,PWP_N105,PWP_N106,PWP_N107,PWP_N108,PWP_N109,PWP_N110,PWP_N111,PWP_N112,PWP_N113,PWP_N114,PWP_N115,PWP_N116,PWP_N117,PWP_N118,PWP_N119,PWP_N120,PWP_N121,PWP_N122,PWP_N123,PWP_N124,PWP_N125,PWP_N126,PWP_N127,PWP_N128,PWP_N129,PWP_N130,PWP_N131,PWP_N132,PWP_N133,PWP_N134,PWP_N135,PWP_N136,PWP_N137,PWP_N138,PWP_N139,PWP_N140,PWP_N141,PWP_N142,PWP_N143,PWP_N144,PWP_N145,PWP_N146,PWP_N147,PWP_N148,PWP_N149,PWP_N150,PWP_N151,PWP_N152,PWP_N153,PWP_N154,PWP_N155,PWP_N156,PWP_N157,PWP_N158,PWP_N159,PWP_N160,PWP_N161,PWP_N162,PWP_N163,PWP_N164,PWP_N165,PWP_N166,PWP_N167,PWP_N168,PWP_N169,PWP_N170,PWP_N171,PWP_N172,PWP_N173,PWP_N174,PWP_N175,PWP_N176,PWP_N177,PWP_N178,PWP_N179,PWP_N180,PWP_N181,PWP_N182,PWP_N183,PWP_N184,PWP_N185,PWP_N186,PWP_N187,PWP_N188,PWP_N189,PWP_N190,PWP_N191,PWP_N192,PWP_N193,PWP_N194,PWP_N195,PWP_N196,PWP_N197,PWP_N198,PWP_N199,PWP_N200,PWP_N201
1,0,0.0,0.0,0.38,1.63649,1.647,5,0.4014,wet,6.0726,201,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,849.0506,3246.3698,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,849.0506,3246.3698,249.7208,0.0,-499.4415,849.0506,3246.3698,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,0.0,-499.4415,2647.04,2047.7102,1448.3804,849.0506,3246.3698,249.7208,0.0,-499.4415,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,0.0,-499.4415,44.593,-205.1278,-704.5693,849.0506,3246.3698,2647.04,2047.7102,249.7208,1448.3804,-160.5348,-410.2555,-909.697,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-365.6625,-615.3833,-1114.8248,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-570.7903,-820.511,-1319.9526,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-775.9181,-1025.6388,-1525.0803,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,-981.0458,-1230.7666,-1730.2081,-545.4215,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-1186.1736,-1435.8943,-1935.3358,-511.2451,2647.04,849.0506,3246.3698,2047.7102,1448.3804,249.7208,-1186.1736,-1435.8943,-1935.3358,-484.721,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-1186.1736,-1435.8943,-1935.3358,-478.4132,2647.04,2047.7102,1448.3804,849.0506,249.7208,3246.3698,-1186.1736,-1435.8943,-1935.3358,-472.5049,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,3246.3698,2647.04,2047.7102,1448.3804,849.0506,249.7208,-468.2264,-1186.1736,-1435.8943,-1935.3358
1,1,3.0,466.901557,467.281557,0.999488,1.647,5,0.4014,wet,6.0726,201,3259.5984,2665.5298,2086.1681,1537.3958,1059.4251,748.783,499.1602,0.0,2665.5295,1059.425,3259.5981,2086.1679,1537.3956,748.783,499.1602,0.0,2665.5283,1059.4246,3259.5968,2086.1668,1537.3948,748.783,499.1602,0.0,1059.4234,3259.5934,748.783,499.1602,0.0,2665.525,2086.1639,1537.3926,2665.5165,1059.4201,3259.5847,2086.1563,1537.3867,748.783,499.1602,0.0,2665.4946,2086.1359,1537.3703,1059.4108,3259.5625,748.7829,499.1602,0.0,1059.3836,3259.5077,748.783,499.1602,0.0,2665.4392,2086.0815,1537.3241,3259.3784,2665.3028,2085.9346,1537.189,1059.3002,748.7825,499.1599,0.0,2664.9803,1059.0269,3259.0979,2085.5356,1536.7753,748.7841,499.1609,0.0,2664.301,1058.0406,3258.5601,2084.4475,1535.4538,748.7771,499.1565,0.0,2663.0806,2082.0729,1530.6835,1054.1122,3257.671,748.7982,499.1695,0.0,3256.4117,2661.2578,2078.0233,1520.8453,1027.0946,748.6884,499.1005,0.0,748.8405,499.1862,0.0,987.2209,3254.8792,2658.9855,2072.7342,534.1817,1506.4684,748.6748,499.0654,0.0,3253.2565,2656.5904,2067.2025,1492.1714,944.9713,458.0979,748.5292,498.9642,0.0,3251.7298,2654.3873,2062.3996,1480.6248,921.4352,412.6958,748.5235,498.9613,0.0,3250.4141,2652.5424,2058.5982,1472.4338,903.5116,381.2545,747.8335,498.4945,0.0,2651.0611,889.2015,3249.339,2055.6395,1465.8882,334.544,749.0639,499.335,0.0,-75.0309,3248.4836,2649.8858,2053.2603,1460.5157,875.9703,316.6445,746.5235,497.5609,0.0,-287.3414,2648.9663,865.9243,3247.8183,2051.3754,1456.1198,283.0824,-1040.2467,-1401.757,0.0,-378.6804,3247.322,2648.2795,2049.9634,1452.8867,857.8064,265.6109,-1164.9914,-1435.8875,0.0,-462.7696,2647.8099,2049.016,1450.7547,853.2155,256.681,3246.9809,-1182.989,-1435.8875,0.0,-469.7822,3246.7828,2647.5402,2048.4851,1449.6374,850.9591,251.8944,3246.7182,2647.4527,2048.3174,1449.2963,850.2509,250.919,-467.2863,-1185.1984,-1435.8875,0.0
1,2,6.0,466.901557,934.183114,0.999013,1.647,5,0.4014,wet,6.0726,201,3286.532,2697.9149,2135.0591,1611.0928,1145.7458,749.0576,499.3717,0.0,2697.9133,1145.7452,3286.5304,2135.0578,1611.0919,749.0576,499.3717,0.0,2697.9074,1145.7432,3286.5242,2135.0527,1611.0881,749.0576,499.3717,0.0,1145.7379,3286.5085,749.0576,499.3717,0.0,2697.8924,2135.0396,1611.0782,2697.8564,1145.7246,3286.4713,2135.0076,1611.0539,749.0576,499.3717,0.0,2697.7722,2134.9311,1610.9938,1145.6911,3286.3852,749.0576,499.3717,0.0,1145.6053,3286.1917,749.0576,499.3717,0.0,2697.5799,2134.7488,1610.8444,3285.7758,2697.154,2134.3174,1610.4678,1145.3797,749.0573,499.3715,0.0,2696.2547,1144.7641,3284.9443,2133.3082,1609.4976,749.0575,499.3716,0.0,2694.5214,1142.98,3283.4429,2130.9907,1606.9555,749.0544,499.3696,0.0,2691.5801,2126.4003,1599.8853,1137.4868,3281.0468,749.0584,499.3722,0.0,3277.6974,2687.2876,2118.8942,1586.0855,1112.4812,749.0127,499.3419,0.0,749.0569,499.3712,0.0,1072.6648,3273.5921,2681.9067,2109.0,636.5574,1565.8632,749.0543,499.3695,0.0,3269.1318,2676.0492,2098.1699,1544.0513,1026.7589,564.9749,749.0583,499.3721,0.0,3264.7554,2670.3618,2087.9617,1524.2408,992.3324,511.1176,749.0734,499.3823,0.0,3260.776,2665.2621,2079.0653,1507.8511,962.5812,467.5242,749.0224,499.3481,0.0,2660.8791,936.5504,3257.3329,2071.5014,1493.6235,408.4183,749.0804,499.3871,0.0,199.5227,3254.4474,2657.1979,2065.0526,1481.2016,911.74,373.661,748.5978,499.0645,0.0,-119.2096,2654.1885,890.739,3252.1046,2059.6939,1470.5398,324.6461,-922.9461,-1381.5624,0.0,-291.7026,3250.2943,2651.8537,2055.4968,1462.1674,873.1749,289.1515,-1133.2743,-1435.8817,0.0,-438.638,2650.2015,2052.5426,1456.3104,861.6672,268.4786,3249.0126,-1175.8255,-1435.8817,0.0,-463.5602,3248.2514,2649.2243,2050.8168,1453.0043,855.5284,256.9906,3247.9995,2648.9021,2050.2551,1451.9549,853.5564,254.2523,-464.5214,-1182.3389,-1435.8817,0.0
1,3,9.0,466.901557,1401.084672,0.999001,1.647,5,0.4014,wet,6.0726,201,3321.7772,2736.4683,2181.8319,1664.4047,1189.3859,749.0802,499.3868,0.0,2736.4638,1189.3844,3321.7725,2181.8281,1664.4019,749.0802,499.3868,0.0,2736.4475,1189.3788,3321.7554,2181.8141,1664.3915,749.0802,499.3868,0.0,1189.3653,3321.7145,749.0802,499.3868,0.0,2736.4083,2181.7801,1664.3662,2736.3209,1189.334,3321.6238,2181.7034,1664.3085,749.0802,499.3868,0.0,2736.1321,2181.5347,1664.1785,1189.2626,3321.4291,749.0801,499.3868,0.0,1189.0988,3321.0247,749.0801,499.3867,0.0,2735.7351,2181.169,1663.8877,3320.2202,2734.9288,2180.3898,1663.2364,1188.7194,749.0798,499.3865,0.0,2733.3672,1187.8238,3318.7172,2178.764,1661.7715,749.0796,499.3864,0.0,2730.5646,1185.6312,3316.1387,2175.4684,1658.4673,749.0772,499.3848,0.0,2726.0295,2169.4517,1650.7959,1180.0214,3312.1509,749.0781,499.3854,0.0,3306.6417,2719.5434,2159.977,1636.6213,1160.5087,749.0491,499.3661,0.0,749.0696,499.3797,0.0,1127.9074,3299.8438,2711.373,2147.4114,684.5494,1615.8082,749.0666,499.3777,0.0,3292.2842,2702.2285,2133.1146,1591.8475,1087.3823,628.2664,749.0665,499.3777,0.0,3284.5862,2692.9369,2118.7133,1567.962,1050.6872,577.5072,749.0773,499.3849,0.0,3277.2562,2684.1273,2105.1759,1545.9182,1015.5665,530.7675,749.0353,499.3568,0.0,2676.1249,982.2182,3270.5997,2092.8401,1525.3672,470.3353,749.1039,499.4027,0.0,363.6649,3264.7682,2669.0751,2081.767,1506.3791,949.1219,423.9103,748.634,499.089,0.0,6.5693,2663.084,918.7686,3259.8528,2072.1642,1489.3327,365.9157,-827.321,-1361.7303,0.0,-219.3415,3255.9355,2658.28,2064.3505,1475.2444,892.3987,315.7769,-1097.0328,-1435.8758,0.0,-410.2819,2654.7826,2058.6431,1464.9287,873.5407,283.5816,3253.0909,-1164.9074,-1435.8759,0.0,-453.9312,3251.3693,2652.6672,2055.205,1458.8177,862.8633,265.0289,3250.7936,2651.9607,2054.0634,1456.8238,859.3625,260.1472,-459.3894,-1177.0413,-1435.8759,0.0
1,4,12.0,155.670973,1556.755644,0.998994,1.647,5,0.4014,wet,6.0726,201,3360.1097,2776.0332,2223.4428,1703.9632,1215.9582,749.0939,499.3959,0.0,2776.0238,1215.9551,3360.0999,2223.4347,1703.9573,749.0939,499.3959,0.0,2775.9903,1215.9438,3360.0647,2223.4059,1703.9361,749.0939,499.3959,0.0,1215.9178,3359.9847,749.0939,499.3959,0.0,2775.9138,2223.3399,1703.8873,2775.7533,1215.8618,3359.8175,2223.2003,1703.7831,749.0939,499.3959,0.0,2775.4288,2222.9141,1703.5661,1215.7438,3359.481,749.0938,499.3959,0.0,1215.497,3358.8266,749.0937,499.3958,0.0,2774.7921,2222.3404,1703.1203,3357.6054,2773.5868,2221.2163,1702.2136,1214.9813,749.0934,499.3956,0.0,2771.4073,1213.898,3355.4494,2219.0716,1700.3817,749.0929,499.3953,0.0,2767.7135,1211.5759,3351.9087,2215.113,1696.7044,749.091,499.394,0.0,2761.9656,2208.3538,1689.2357,1206.4303,3346.5799,749.0901,499.3934,0.0,3339.2916,2753.8821,2198.0494,1676.1246,1191.864,749.0732,499.3822,0.0,749.0766,499.3844,0.0,1166.6376,3330.2394,2743.6507,2184.3234,712.968,1656.8435,749.075,499.3833,0.0,3319.9578,2731.9198,2168.1839,1633.411,1132.9944,670.5064,749.0723,499.3815,0.0,3309.1382,2719.5313,2151.0171,1608.1986,1097.8895,625.9573,749.0808,499.3872,0.0,3298.4165,2707.2287,2133.8645,1582.8828,1061.2816,580.2302,749.0431,499.3621,0.0,2695.5277,1023.9293,3288.2688,2117.3294,1557.7841,521.8603,749.1187,499.4126,0.0,464.8166,3279.0345,2684.794,2101.8107,1533.4037,985.2217,468.3036,748.6595,499.106,0.0,101.1543,2675.3609,947.5209,3270.9943,2087.8451,1510.6249,404.2971,-748.9484,-1342.2515,0.0,-158.4785,3264.413,2667.5809,2076.1127,1491.0302,913.595,343.1257,-1059.641,-1435.8699,0.0,-380.2448,2661.7835,2067.2921,1476.1701,887.9288,300.8622,3259.5305,-1150.8334,-1435.8702,0.0,-441.341,3256.5295,2658.2148,2061.8556,1467.0704,872.7467,275.7024,3255.5177,2657.0114,2060.0254,1464.0425,867.6843,268.6294,-451.6959,-1169.109,-1435.8702,0.0
1,5,15.0,0.055681,1556.811325,0.998988,1.647,5,0.4014,wet,6.0726,201,3398.1294,2813.935,2259.9162,1734.9326,1234.5997,749.1035,499.4024,0.0,2813.9186,1234.5943,3398.1122,2259.9022,1734.9223,749.1035,499.4024,0.0,2813.8615,1234.5753,3398.0524,2259.8533,1734.8865,749.1035,499.4023,0.0,1234.5334,3397.9217,749.1035,499.4023,0.0,2813.7368,2259.746,1734.8076,2813.4885,1234.4484,3397.6622,2259.5313,1734.6485,749.1035,499.4023,0.0,2813.0137,2259.117,1734.3379,1234.281,3397.1681,749.1034,499.4022,0.0,1233.9565,3396.259,749.1032,499.4021,0.0,2812.1351,2258.3382,1733.7438,3394.6514,2810.566,2256.9129,1732.6262,1233.3335,749.1028,499.4019,0.0,2807.8816,1232.1431,3391.9451,2254.3809,1730.5548,749.1022,499.4015,0.0,2803.5399,1229.8537,3387.6624,2250.0351,1726.7668,749.1009,499.4006,0.0,2796.9964,2243.0107,1719.8502,1225.3575,3381.3648,749.0987,499.3991,0.0,3372.8209,2787.9174,2232.5902,1708.271,1214.8685,749.091,499.3941,0.0,749.0813,499.3875,0.0,1196.0055,3362.1387,2776.3671,2218.6542,732.788,1691.2116,749.0813,499.3876,0.0,3349.7664,2762.8351,2201.7884,1669.4497,1168.8975,701.4775,749.0768,499.3845,0.0,3336.3589,2748.0591,2183.0057,1644.4329,1136.8155,663.5006,749.084,499.3893,0.0,3322.6018,2732.7979,2163.2626,1617.5053,1100.7031,620.5387,749.0488,499.3658,0.0,2717.709,1061.4463,3309.1087,2143.3194,1589.3473,565.0719,749.1279,499.4187,0.0,529.4727,3296.4226,2703.383,2123.8744,1560.7838,1019.0303,507.5179,748.6795,499.1193,0.0,173.089,2690.4257,975.7725,3285.0644,2105.8168,1533.166,439.2961,-684.2907,-1323.1166,0.0,-106.7937,3275.5524,2679.4826,2090.2415,1508.6501,935.6523,370.0704,-1022.9221,-1435.8641,0.0,-350.0034,2671.1714,2078.2647,1489.5478,904.1087,319.5279,3268.3681,-1134.2797,-1435.8644,0.0,-426.3384,3263.896,2665.9836,2070.7541,1477.5707,884.8346,288.5954,3262.3782,2664.2213,2068.2005,1473.5283,878.3206,279.4889,-441.5071,-1158.6131,-1435.8644,0.0
1,6,18.0,0.06243,1556.873755,0.998984,1.647,5,0.4014,wet,6.0726,201,3434.0367,2849.0103,2291.9267,1760.3417,1248.9944,749.111,499.4073,0.0,2848.9853,1248.9862,3434.0105,2291.9054,1760.3261,749.111,499.4073,0.0,2848.9001,1248.958,3433.921,2291.8325,1760.2729,749.1109,499.4073,0.0,1248.8982,3433.7326,749.1109,499.4073,0.0,2848.7203,2291.6784,1760.1599,2848.3781,1248.7828,3433.3743,2291.3839,1759.9429,749.1108,499.4072,0.0,2847.7547,2290.8439,1759.5417,1248.568,3432.7234,749.1107,499.4072,0.0,1248.1772,3431.5818,749.1105,499.407,0.0,2846.6566,2289.8824,1758.8185,3429.6528,2844.789,2288.2195,1757.5431,1247.4777,749.1102,499.4068,0.0,2841.7378,1246.2423,3426.5344,2285.4317,1755.3402,749.1094,499.4063,0.0,2836.9894,1244.0751,3421.753,2280.919,1751.6111,749.1085,499.4057,0.0,2830.0189,2273.9498,1745.3974,1240.2657,3414.8582,749.1054,499.4036,0.0,3405.5612,2820.4478,2263.8446,1735.4557,1233.1812,749.1053,499.4036,0.0,749.0847,499.3898,0.0,1219.7128,3393.8548,2808.2,2250.2669,748.1151,1720.7627,749.0864,499.3909,0.0,3380.0443,2793.5604,2233.3909,1701.1006,1198.4476,725.8521,749.0804,499.3869,0.0,3364.6742,2777.0926,2213.8209,1677.0655,1169.7802,693.9951,749.0867,499.3911,0.0,3348.41,2759.4952,2192.336,1649.5761,1135.0851,654.3935,749.0531,499.3687,0.0,2741.5084,1095.1743,3331.9565,2169.7557,1619.4568,601.8517,749.1337,499.4226,0.0,572.6046,3316.0458,2723.9223,2147.0121,1587.7473,1050.3664,542.2921,748.6956,499.1301,0.0,228.6756,2707.6227,1003.0014,3301.4563,2125.3256,1556.1899,471.141,-630.5115,-1304.3169,0.0,-62.4739,3288.9993,2693.5807,2106.2123,1527.4723,957.957,396.1416,-987.7868,-1435.8582,0.0,-320.3725,2682.7487,2091.2518,1504.6225,921.5519,339.0444,3279.4493,-1115.8729,-1435.8586,0.0,-409.4576,3273.4429,2675.9124,2081.7451,1490.0453,898.7599,303.2901,3271.3933,2673.5765,2078.489,1485.0738,890.9744,292.4092,-429.0512,-1145.7921,-1435.8586,0.0
1,7,21.0,0.06243,1556.936184,0.99898,1.647,5,0.4014,wet,6.0726,201,3467.0551,2880.8887,2320.1393,1781.8822,1260.7961,749.117,499.4114,0.0,2880.8542,1260.7848,3467.0188,2320.1099,1781.8607,749.117,499.4114,0.0,2880.7384,1260.7467,3466.8973,2320.011,1781.7885,749.117,499.4113,0.0,1260.6684,3466.6488,749.117,499.4113,0.0,2880.5016,2319.8085,1781.6405,2880.0677,1260.5237,3466.194,2319.4365,1781.3675,749.1169,499.4113,0.0,2879.3096,2318.7834,1780.8856,1260.2672,3465.4007,749.1168,499.4112,0.0,1259.8245,3464.0652,749.1165,499.411,0.0,2878.0298,2317.6731,1780.0594,3461.8958,2875.9419,2315.842,1778.6792,1259.0774,749.1162,499.4108,0.0,2872.6611,1257.8436,3458.5086,2312.9176,1776.4328,749.1153,499.4102,0.0,2867.7189,1255.8498,3453.4538,2308.4097,1772.8755,749.1149,499.4099,0.0,2860.6209,2301.7148,1767.432,1252.717,3446.2835,749.111,499.4073,0.0,3436.6553,2850.9494,2292.1921,1759.1143,1248.5592,749.1173,499.4116,0.0,749.0875,499.3917,0.0,1239.7378,3424.4363,2838.4865,2279.3169,760.7551,1746.7491,749.0906,499.3937,0.0,3409.7609,2823.2982,2262.8881,1729.3126,1223.6604,746.0477,749.0835,499.389,0.0,3393.0205,2805.7404,2243.1111,1706.652,1198.3928,719.6948,749.0891,499.3928,0.0,3374.8097,2786.4026,2220.5442,1679.2482,1165.505,683.53,749.0565,499.371,0.0,2766.0571,1125.6734,3355.8799,2195.9994,1647.9496,633.7085,749.1375,499.4251,0.0,602.781,3337.1244,2745.6574,2170.5804,1613.9314,1079.3891,573.3705,748.7089,499.1389,0.0,272.4709,2726.3534,1029.051,3319.5719,2145.8001,1579.2497,500.2695,-585.3379,-1285.8434,0.0,-24.0692,3304.3381,2709.445,2123.5708,1547.0592,980.1884,421.2041,-954.6152,-1435.8522,0.0,-291.7601,2696.2346,2105.925,1521.0246,939.8819,359.0611,3292.5135,-1096.1441,-1435.8529,0.0,-391.1689,3285.0134,2687.8231,2094.5965,1504.1983,914.1786,319.4114,3282.4431,2684.9357,2090.6948,1498.4148,905.3247,307.0476,-414.6378,-1130.9699,-1435.8529,0.0
1,8,24.0,1.316648,1558.252832,0.998977,1.647,5,0.4014,wet,6.0726,201,3496.973,2909.5827,2345.0939,1800.5209,1270.8216,749.1222,499.4148,0.0,2909.5384,1270.8071,3496.9265,2345.0562,1800.4934,749.1222,499.4148,0.0,2909.3921,1270.7592,3496.7728,2344.9315,1800.4025,749.1222,499.4148,0.0,1270.6634,3496.4669,749.1221,499.4148,0.0,2909.1008,2344.6827,1800.2209,2908.5842,1270.4925,3495.9248,2344.2409,1799.8977,749.122,499.4147,0.0,2907.7135,2343.494,1799.3495,1270.2019,3495.0123,749.1219,499.4146,0.0,1269.7226,3493.5303,749.1216,499.4144,0.0,2906.2972,2342.274,1798.4493,3491.2042,2904.0689,2340.3426,1797.0138,1268.954,749.1213,499.4142,0.0,2900.6835,1267.7577,3487.6813,2337.3846,1794.795,749.1204,499.4136,0.0,2895.7253,1265.9689,3482.5462,2333.0156,1791.4884,749.1203,499.4136,0.0,2888.7342,2326.7495,1786.8481,1263.491,3475.3612,749.1159,499.4106,0.0,3465.7348,2879.2583,2317.982,1780.1087,1261.9182,749.1277,499.4185,0.0,749.0899,499.3933,0.0,1257.1878,3453.4084,2866.9436,2306.0257,771.6131,1769.9831,749.0942,499.3961,0.0,3438.337,2851.6401,2290.3434,1754.7768,1245.7562,763.4034,749.0862,499.3908,0.0,3420.738,2833.4852,2270.7684,1733.6844,1223.7366,741.9793,749.0913,499.3942,0.0,3401.1041,2812.9324,2247.6256,1706.772,1192.7971,709.123,749.0594,499.3729,0.0,2790.7491,1153.4821,3380.1971,2221.68,1674.8545,661.791,749.1401,499.4268,0.0,624.9773,3359.0402,2768.0163,2194.1584,1639.194,1106.3718,601.4294,748.72,499.1464,0.0,307.7357,2746.1207,1053.9403,3338.8916,2166.8231,1602.0953,527.1354,-546.959,-1267.6871,0.0,9.5875,3321.1618,2726.6742,2141.9434,1567.1103,1002.1884,445.2802,-923.4861,-1435.8463,0.0,-264.3299,2711.3209,2121.9703,1538.4499,958.8294,379.3499,3307.2571,-1075.5216,-1435.8471,0.0,-371.8645,3298.3762,2701.475,2109.0443,1519.7418,930.7876,336.6404,3295.322,2698.0827,2104.5734,1513.2736,921.0643,323.0778,-398.6014,-1114.4969,-1435.8471,0.0
1,9,27.0,1.943757,1560.196589,0.998974,1.647,5,0.4014,wet,6.0726,201,3523.8619,2935.2756,2367.2204,1816.8454,1279.5137,749.1267,499.4178,0.0,2935.2221,1279.4963,3523.8057,2367.1749,1816.8123,749.1267,499.4178,0.0,2935.0475,1279.4392,3523.6222,2367.0261,1816.7039,749.1267,499.4178,0.0,1279.3278,3523.265,749.1266,499.4177,0.0,2934.7076,2366.7362,1816.4927,2934.1219,1279.1354,3522.65,2366.2362,1816.1279,749.1265,499.4177,0.0,2933.1657,2365.4187,1815.5302,1278.8195,3521.6465,749.1263,499.4176,0.0,1278.3191,3520.068,749.126,499.4174,0.0,2931.6603,2364.1291,1814.5851,3517.6648,2929.3667,2362.1603,1813.1387,1277.5518,749.1257,499.4171,0.0,2925.9852,1276.421,3514.1227,2359.2555,1811.0054,749.1248,499.4166,0.0,2921.155,1274.8587,3509.0659,2355.1301,1808.0077,749.1251,499.4168,0.0,2914.4516,2349.4048,1804.1876,1273.0137,3502.071,749.1201,499.4134,0.0,3492.7023,2905.3924,2341.509,1798.9769,1273.7735,749.137,499.4247,0.0,749.092,499.3946,0.0,1272.7157,3480.5804,2893.4971,2330.6127,781.1896,1790.998,749.0974,499.3983,0.0,3465.4836,2878.4098,2315.8796,1777.9831,1265.4967,778.7059,749.0885,499.3924,0.0,3447.4497,2860.0524,2296.8013,1758.5542,1246.5441,761.727,749.0933,499.3955,0.0,3426.8525,2838.7308,2273.4739,1732.3988,1217.586,731.9905,749.0618,499.3745,0.0,2815.183,1179.0605,3404.4388,2246.5946,1700.2757,686.9531,749.1419,499.428,0.0,642.1298,3381.3326,2790.5864,2217.4782,1663.5054,1131.6003,627.0416,748.7295,499.1527,0.0,336.793,2766.5334,1077.7602,3358.9941,2188.0966,1624.5914,552.1418,-513.9406,-1249.8389,0.0,39.4354,3339.1062,2744.9193,2161.0303,1587.4166,1023.885,468.4555,-894.3167,-1435.8403,0.0,-238.1044,2727.7063,2139.1032,1556.6495,978.1979,399.7615,3323.374,-1054.3394,-1435.8413,0.0,-351.8598,3313.2682,2716.6032,2124.8219,1536.4111,948.3275,354.7126,3309.7826,2712.7665,2119.8656,1529.3821,937.9161,340.2087,-381.2662,-1096.713,-1435.8413,0.0
